,CELL_ID,CELL_TYPE,CELL_CLASS
34,35,Tumor 4,Tumor
343,344,Tumor 1,Tumor
353,354,Tumor 6 / DC,Tumor
351,352,Tumor 6 / DC,Tumor
255,256,Tumor 6 / DC,Tumor
482,483,Tumor 1,Tumor
218,219,Tumor 4,Tumor
320,321,Tumor 4,Tumor
3,4,Tumor 7,Tumor
340,341,Tumor 6 / DC,Tumor
348,349,Tumor 6 / DC,Tumor
984,985,Tumor 4,Tumor
574,575,Tumor 4,Tumor
429,430,Tumor 4,Tumor
468,469,Tumor 1,Tumor
733,734,Tumor 4,Tumor
745,746,Tumor 6 / DC,Tumor
253,254,Tumor 4,Tumor
31,32,Tumor 4,Tumor
205,206,Tumor 1,Tumor
12,13,Tumor 4,Tumor
4,5,Tumor 6 / DC,Tumor
10,11,Tumor 6 / DC,Tumor
24,25,Tumor 4,Tumor
364,365,Tumor 6 / DC,Tumor
369,370,Tumor 3,Tumor
458,459,Tumor 7,Tumor
491,492,Tumor 3,Tumor
145,146,Tumor 7,Tumor
160,161,Tumor 6 / DC,Tumor
476,477,Tumor 7,Tumor
514,515,Tumor 7,Tumor
509,510,Tumor 1,Tumor
903,904,Tumor 4,Tumor
891,892,Tumor 4,Tumor
916,917,Tumor 4,Tumor
1017,1018,Tumor 4,Tumor
907,908,Tumor 7,Tumor
847,848,Tumor 4,Tumor
392,393,Tumor 4,Tumor
393,394,Tumor 4,Tumor
447,448,Tumor 6 / DC,Tumor
449,450,Tumor 4,Tumor
421,422,Tumor 4,Tumor
475,476,Tumor 4,Tumor
433,434,Tumor 1,Tumor
457,458,Tumor 7,Tumor
345,346,Tumor 6 / DC,Tumor
366,367,Tumor 4,Tumor
333,334,Tumor 6 / DC,Tumor
730,731,Tumor 2 (Ki67 Proliferating),Tumor
719,720,Tumor 2 (Ki67 Proliferating),Tumor
499,500,Tumor 6 / DC,Tumor
616,617,Tumor 1,Tumor
561,562,Tumor 6 / DC,Tumor
528,529,Tumor 3,Tumor
559,560,Tumor 1,Tumor
196,197,Tumor 4,Tumor
161,162,Tumor 4,Tumor
98,99,Tumor 4,Tumor
114,115,Tumor 4,Tumor
190,191,Tumor 4,Tumor
106,107,Tumor 4,Tumor
149,150,Tumor 7,Tumor
136,137,Tumor 4,Tumor
266,267,Tumor 1,Tumor
256,257,Tumor 1,Tumor
270,271,Tumor 1,Tumor
236,237,Tumor 1,Tumor
230,231,Tumor 1,Tumor
115,116,Tumor 3,Tumor
124,125,Tumor 1,Tumor
140,141,Tumor 1,Tumor
116,117,Tumor 1,Tumor
93,94,Tumor 1,Tumor
146,147,Tumor 6 / DC,Tumor
90,91,Tumor 6 / DC,Tumor
112,113,Tumor 6 / DC,Tumor
138,139,Tumor 6 / DC,Tumor
151,152,Tumor 6 / DC,Tumor
130,131,Tumor 4,Tumor
387,388,Tumor 6 / DC,Tumor
381,382,Tumor 7,Tumor
554,555,Tumor 7,Tumor
223,224,Tumor 7,Tumor
254,255,Tumor 1,Tumor
245,246,Tumor 7,Tumor
168,169,Tumor 1,Tumor
156,157,Tumor 7,Tumor
271,272,Tumor 7,Tumor
453,454,Tumor 7,Tumor
436,437,Tumor 3,Tumor
460,461,Tumor 7,Tumor
490,491,Tumor 7,Tumor
529,530,Tumor 1,Tumor
550,551,Tumor 4,Tumor
524,525,Tumor 2 (Ki67 Proliferating),Tumor
510,511,Tumor 7,Tumor
488,489,Tumor 7,Tumor
454,455,Tumor 7,Tumor
492,493,Tumor 7,Tumor
511,512,Tumor 7,Tumor
500,501,Tumor 6 / DC,Tumor
914,915,Tumor 7,Tumor
936,937,Tumor 6 / DC,Tumor
925,926,Tumor 6 / DC,Tumor
985,986,Tumor 3,Tumor
1000,1001,Tumor 7,Tumor
975,976,Tumor 6 / DC,Tumor
965,966,Tumor 1,Tumor
1018,1019,Tumor 6 / DC,Tumor
884,885,Tumor 6 / DC,Tumor
899,900,Tumor 7,Tumor
1027,1028,Tumor 6 / DC,Tumor
857,858,Tumor 4,Tumor
1008,1009,Tumor 4,Tumor
617,618,Tumor 4,Tumor
472,473,Tumor 3,Tumor
578,579,Tumor 7,Tumor
553,554,Tumor 6 / DC,Tumor
579,580,Tumor 4,Tumor
525,526,Tumor 4,Tumor
637,638,Tumor 4,Tumor
618,619,Tumor 7,Tumor
1007,1008,Tumor 6 / DC,Tumor
867,868,Tumor 1,Tumor
855,856,Tumor 4,Tumor
1025,1026,Tumor 6 / DC,Tumor
839,840,Tumor 4,Tumor
566,567,Tumor 7,Tumor
470,471,Tumor 7,Tumor
321,322,Tumor 7,Tumor
310,311,Tumor 1,Tumor
344,345,Tumor 1,Tumor
423,424,Tumor 4,Tumor
441,442,Tumor 6 / DC,Tumor
400,401,Tumor 1,Tumor
327,328,Tumor 6 / DC,Tumor
248,249,Tumor 4,Tumor
285,286,Tumor 4,Tumor
164,165,Tumor 6 / DC,Tumor
671,672,Tumor 4,Tumor
649,650,Tumor 4,Tumor
630,631,Tumor 1,Tumor
666,667,Tumor 4,Tumor
638,639,Tumor 6 / DC,Tumor
764,765,Tumor 4,Tumor
683,684,Tumor 7,Tumor
714,715,Tumor 7,Tumor
703,704,Tumor 7,Tumor
690,691,Tumor 7,Tumor
662,663,Tumor 7,Tumor
674,675,Tumor 6 / DC,Tumor
527,528,Tumor 4,Tumor
558,559,Tumor 4,Tumor
154,155,Tumor 3,Tumor
95,96,Tumor 4,Tumor
100,101,Tumor 4,Tumor
89,90,Tumor 4,Tumor
144,145,Tumor 1,Tumor
62,63,Tumor 7,Tumor
76,77,Tumor 1,Tumor
91,92,Tumor 3,Tumor
73,74,Tumor 7,Tumor
77,78,Tumor 7,Tumor
72,73,Tumor 7,Tumor
21,22,Tumor 3,Tumor
1,2,Tumor 7,Tumor
40,41,Tumor 7,Tumor
39,40,Tumor 6 / DC,Tumor
54,55,Tumor 7,Tumor
52,53,Tumor 2 (Ki67 Proliferating),Tumor
60,61,Tumor 7,Tumor
9,10,Tumor 7,Tumor
11,12,Tumor 6 / DC,Tumor
37,38,Tumor 6 / DC,Tumor
27,28,Tumor 3,Tumor
193,194,Tumor 6 / DC,Tumor
221,222,Tumor 1,Tumor
