,CELL_ID,CELL_TYPE,CELL_CLASS
794,795,Tumor 1,Tumor
18,19,Tumor 4,Tumor
31,32,Tumor 4,Tumor
1077,1078,Tumor 2 (Ki67 Proliferating),Tumor
1173,1174,Tumor 4,Tumor
816,817,Tumor 4,Tumor
155,156,Tumor 4,Tumor
188,189,Tumor 4,Tumor
213,214,Tumor 4,Tumor
1142,1143,Tumor 1,Tumor
879,880,Tumor 1,Tumor
865,866,Tumor 4,Tumor
856,857,Tumor 1,Tumor
922,923,Tumor 1,Tumor
901,902,Tumor 1,Tumor
1066,1067,Tumor 1,Tumor
965,966,Tumor 1,Tumor
967,968,Tumor 7,Tumor
342,343,Tumor 4,Tumor
1155,1156,Tumor 4,Tumor
1170,1171,Tumor 4,Tumor
7,8,Tumor 3,Tumor
1,2,Tumor 3,Tumor
301,302,Tumor 4,Tumor
97,98,Tumor 4,Tumor
703,704,Tumor 7,Tumor
539,540,Tumor 4,Tumor
538,539,Tumor 7,Tumor
1115,1116,Tumor 1,Tumor
1094,1095,Tumor 1,Tumor
1131,1132,Tumor 1,Tumor
859,860,Tumor 7,Tumor
825,826,Tumor 7,Tumor
925,926,Tumor 2 (Ki67 Proliferating),Tumor
884,885,Tumor 3,Tumor
889,890,Tumor 7,Tumor
896,897,Tumor 7,Tumor
888,889,Tumor 1,Tumor
900,901,Tumor 1,Tumor
1161,1162,Tumor 6 / DC,Tumor
449,450,Tumor 4,Tumor
1078,1079,Tumor 2 (Ki67 Proliferating),Tumor
1096,1097,Tumor 6 / DC,Tumor
1057,1058,Tumor 6 / DC,Tumor
1061,1062,Tumor 6 / DC,Tumor
959,960,Tumor 7,Tumor
986,987,Tumor 3,Tumor
615,616,Tumor 4,Tumor
17,18,Tumor 6 / DC,Tumor
19,20,Tumor 4,Tumor
5,6,Tumor 3,Tumor
3,4,Tumor 4,Tumor
329,330,Tumor 4,Tumor
248,249,Tumor 7,Tumor
131,132,Tumor 4,Tumor
164,165,Tumor 4,Tumor
334,335,Tumor 4,Tumor
521,522,Tumor 1,Tumor
531,532,Tumor 7,Tumor
724,725,Tumor 1,Tumor
752,753,Tumor 4,Tumor
817,818,Tumor 1,Tumor
814,815,Tumor 1,Tumor
1065,1066,Tumor 7,Tumor
