,CELL_ID,CELL_TYPE,CELL_CLASS
1348,1349,Tumor 4,Tumor
1190,1191,Tumor 4,Tumor
1024,1025,Tumor 4,Tumor
940,941,Tumor 4,Tumor
1644,1645,Tumor 4,Tumor
1694,1695,Tumor 4,Tumor
852,853,Tumor 4,Tumor
707,708,Tumor 6 / DC,Tumor
832,833,Tumor 4,Tumor
84,85,Tumor 7,Tumor
13,14,Tumor 4,Tumor
8,9,Tumor 3,Tumor
1003,1004,Tumor 4,Tumor
945,946,Tumor 4,Tumor
994,995,Tumor 4,Tumor
24,25,Tumor 7,Tumor
1691,1692,Tumor 4,Tumor
1329,1330,Tumor 1,Tumor
1690,1691,Tumor 4,Tumor
1701,1702,Tumor 4,Tumor
1294,1295,Tumor 4,Tumor
117,118,Tumor 7,Tumor
58,59,Tumor 7,Tumor
81,82,Tumor 7,Tumor
20,21,Tumor 7,Tumor
7,8,Tumor 7,Tumor
19,20,Tumor 2 (Ki67 Proliferating),Tumor
23,24,Tumor 3,Tumor
839,840,Tumor 4,Tumor
864,865,Tumor 4,Tumor
936,937,Tumor 4,Tumor
559,560,Tumor 4,Tumor
1319,1320,Tumor 4,Tumor
1198,1199,Tumor 4,Tumor
15,16,Tumor 3,Tumor
31,32,Tumor 3,Tumor
11,12,Tumor 4,Tumor
283,284,Tumor 4,Tumor
1703,1704,Tumor 3,Tumor
1716,1717,Tumor 4,Tumor
1684,1685,Tumor 4,Tumor
1366,1367,Tumor 3,Tumor
1361,1362,Tumor 3,Tumor
1383,1384,Tumor 7,Tumor
1470,1471,Tumor 4,Tumor
1486,1487,Tumor 4,Tumor
1450,1451,Tumor 7,Tumor
1422,1423,Tumor 7,Tumor
1428,1429,Tumor 7,Tumor
1398,1399,Tumor 6 / DC,Tumor
1414,1415,Tumor 7,Tumor
1444,1445,Tumor 7,Tumor
1435,1436,Tumor 7,Tumor
1387,1388,Tumor 7,Tumor
1405,1406,Tumor 3,Tumor
1334,1335,Tumor 1,Tumor
1458,1459,Tumor 7,Tumor
1438,1439,Tumor 7,Tumor
1484,1485,Tumor 7,Tumor
1475,1476,Tumor 7,Tumor
1469,1470,Tumor 7,Tumor
1493,1494,Tumor 7,Tumor
1495,1496,Tumor 7,Tumor
1533,1534,Tumor 4,Tumor
1557,1558,Tumor 7,Tumor
1564,1565,Tumor 7,Tumor
1708,1709,Tumor 4,Tumor
1689,1690,Tumor 3,Tumor
1711,1712,Tumor 3,Tumor
1692,1693,Tumor 7,Tumor
1693,1694,Tumor 3,Tumor
1640,1641,Tumor 7,Tumor
790,791,Tumor 4,Tumor
1274,1275,Tumor 4,Tumor
1269,1270,Tumor 4,Tumor
1188,1189,Tumor 4,Tumor
