,CELL_ID,CELL_TYPE,CELL_CLASS
19,20,Tumor 3,Tumor
14,15,Tumor 7,Tumor
1041,1042,Tumor 1,Tumor
5,6,Tumor 4,Tumor
594,595,Tumor 4,Tumor
529,530,Tumor 7,Tumor
203,204,Tumor 4,Tumor
306,307,Tumor 2 (Ki67 Proliferating),Tumor
231,232,Tumor 4,Tumor
13,14,Tumor 4,Tumor
4,5,Tumor 4,Tumor
28,29,Tumor 4,Tumor
328,329,Tumor 4,Tumor
349,350,Tumor 4,Tumor
256,257,Tumor 4,Tumor
43,44,Tumor 7,Tumor
32,33,Tumor 7,Tumor
31,32,Tumor 7,Tumor
170,171,Tumor 4,Tumor
16,17,Tumor 3,Tumor
568,569,Tumor 3,Tumor
1009,1010,Tumor 2 (Ki67 Proliferating),Tumor
995,996,Tumor 4,Tumor
809,810,Tumor 3,Tumor
936,937,Tumor 7,Tumor
382,383,Tumor 4,Tumor
418,419,Tumor 4,Tumor
419,420,Tumor 4,Tumor
452,453,Tumor 4,Tumor
446,447,Tumor 4,Tumor
376,377,Tumor 4,Tumor
56,57,Tumor 7,Tumor
117,118,Tumor 7,Tumor
73,74,Tumor 7,Tumor
84,85,Tumor 7,Tumor
54,55,Tumor 7,Tumor
66,67,Tumor 3,Tumor
98,99,Tumor 7,Tumor
18,19,Tumor 7,Tumor
977,978,Tumor 7,Tumor
1038,1039,Tumor 3,Tumor
1023,1024,Tumor 3,Tumor
1010,1011,Tumor 3,Tumor
1022,1023,Tumor 3,Tumor
988,989,Tumor 7,Tumor
1017,1018,Tumor 3,Tumor
701,702,Tumor 3,Tumor
688,689,Tumor 4,Tumor
413,414,Tumor 1,Tumor
426,427,Tumor 4,Tumor
394,395,Tumor 7,Tumor
402,403,Tumor 7,Tumor
283,284,Tumor 4,Tumor
1047,1048,Tumor 4,Tumor
956,957,Tumor 2 (Ki67 Proliferating),Tumor
964,965,Tumor 2 (Ki67 Proliferating),Tumor
340,341,Tumor 4,Tumor
310,311,Tumor 4,Tumor
322,323,Tumor 4,Tumor
443,444,Tumor 3,Tumor
465,466,Tumor 4,Tumor
454,455,Tumor 7,Tumor
185,186,Tumor 3,Tumor
193,194,Tumor 1,Tumor
63,64,Tumor 7,Tumor
68,69,Tumor 7,Tumor
186,187,Tumor 3,Tumor
164,165,Tumor 7,Tumor
156,157,Tumor 2 (Ki67 Proliferating),Tumor
177,178,Tumor 7,Tumor
200,201,Tumor 7,Tumor
202,203,Tumor 4,Tumor
165,166,Tumor 4,Tumor
1,2,Tumor 1,Tumor
1029,1030,Tumor 7,Tumor
1046,1047,Tumor 2 (Ki67 Proliferating),Tumor
1049,1050,Tumor 2 (Ki67 Proliferating),Tumor
904,905,Tumor 7,Tumor
1044,1045,Tumor 2 (Ki67 Proliferating),Tumor
971,972,Tumor 7,Tumor
1003,1004,Tumor 3,Tumor
666,667,Tumor 4,Tumor
746,747,Tumor 4,Tumor
834,835,Tumor 4,Tumor
848,849,Tumor 4,Tumor
735,736,Tumor 4,Tumor
417,418,Tumor 7,Tumor
365,366,Tumor 4,Tumor
411,412,Tumor 4,Tumor
368,369,Tumor 7,Tumor
380,381,Tumor 7,Tumor
300,301,Tumor 7,Tumor
276,277,Tumor 4,Tumor
335,336,Tumor 4,Tumor
440,441,Tumor 4,Tumor
808,809,Tumor 7,Tumor
52,53,Tumor 4,Tumor
44,45,Tumor 4,Tumor
230,231,Tumor 4,Tumor
167,168,Tumor 4,Tumor
551,552,Tumor 4,Tumor
574,575,Tumor 4,Tumor
396,397,Tumor 4,Tumor
410,411,Tumor 4,Tumor
478,479,Tumor 4,Tumor
481,482,Tumor 4,Tumor
206,207,Tumor 7,Tumor
194,195,Tumor 7,Tumor
201,202,Tumor 7,Tumor
236,237,Tumor 4,Tumor
239,240,Tumor 4,Tumor
269,270,Tumor 4,Tumor
154,155,Tumor 7,Tumor
81,82,Tumor 7,Tumor
93,94,Tumor 2 (Ki67 Proliferating),Tumor
108,109,Tumor 7,Tumor
75,76,Tumor 7,Tumor
122,123,Tumor 7,Tumor
183,184,Tumor 2 (Ki67 Proliferating),Tumor
178,179,Tumor 7,Tumor
192,193,Tumor 7,Tumor
174,175,Tumor 7,Tumor
196,197,Tumor 7,Tumor
172,173,Tumor 4,Tumor
149,150,Tumor 7,Tumor
140,141,Tumor 7,Tumor
126,127,Tumor 7,Tumor
11,12,Tumor 2 (Ki67 Proliferating),Tumor
10,11,Tumor 7,Tumor
