,CELL_ID,CELL_TYPE,CELL_CLASS
1087,1088,Tumor 1,Tumor
1055,1056,Tumor 1,Tumor
905,906,Tumor 1,Tumor
927,928,Tumor 7,Tumor
878,879,Tumor 1,Tumor
815,816,Tumor 1,Tumor
887,888,Tumor 1,Tumor
943,944,Tumor 1,Tumor
1054,1055,Tumor 2 (Ki67 Proliferating),Tumor
594,595,Tumor 1,Tumor
2672,2673,Tumor 2 (Ki67 Proliferating),Tumor
2569,2570,Tumor 4,Tumor
2660,2661,Tumor 4,Tumor
1031,1032,Tumor 1,Tumor
969,970,Tumor 1,Tumor
1107,1108,Tumor 1,Tumor
1085,1086,Tumor 6 / DC,Tumor
1120,1121,Tumor 1,Tumor
1082,1083,Tumor 1,Tumor
1872,1873,Tumor 6 / DC,Tumor
1027,1028,Tumor 1,Tumor
1164,1165,Tumor 1,Tumor
1122,1123,Tumor 1,Tumor
1399,1400,Tumor 1,Tumor
1449,1450,Tumor 1,Tumor
1403,1404,Tumor 1,Tumor
1453,1454,Tumor 1,Tumor
1329,1330,Tumor 6 / DC,Tumor
1322,1323,Tumor 6 / DC,Tumor
677,678,Tumor 1,Tumor
517,518,Tumor 7,Tumor
619,620,Tumor 1,Tumor
647,648,Tumor 1,Tumor
685,686,Tumor 1,Tumor
823,824,Tumor 2 (Ki67 Proliferating),Tumor
1116,1117,Tumor 3,Tumor
729,730,Tumor 7,Tumor
808,809,Tumor 1,Tumor
704,705,Tumor 1,Tumor
1000,1001,Tumor 1,Tumor
1039,1040,Tumor 3,Tumor
1006,1007,Tumor 1,Tumor
1042,1043,Tumor 1,Tumor
787,788,Tumor 2 (Ki67 Proliferating),Tumor
810,811,Tumor 1,Tumor
712,713,Tumor 7,Tumor
814,815,Tumor 1,Tumor
847,848,Tumor 1,Tumor
1014,1015,Tumor 2 (Ki67 Proliferating),Tumor
14,15,Tumor 4,Tumor
45,46,Tumor 4,Tumor
401,402,Tumor 1,Tumor
385,386,Tumor 4,Tumor
565,566,Tumor 1,Tumor
584,585,Tumor 7,Tumor
8,9,Tumor 4,Tumor
583,584,Tumor 2 (Ki67 Proliferating),Tumor
2664,2665,Tumor 3,Tumor
2670,2671,Tumor 2 (Ki67 Proliferating),Tumor
2673,2674,Tumor 4,Tumor
2675,2676,Tumor 7,Tumor
1961,1962,Tumor 2 (Ki67 Proliferating),Tumor
2644,2645,Tumor 4,Tumor
2636,2637,Tumor 4,Tumor
1633,1634,Tumor 1,Tumor
1604,1605,Tumor 1,Tumor
1802,1803,Tumor 2 (Ki67 Proliferating),Tumor
1202,1203,Tumor 4,Tumor
1546,1547,Tumor 6 / DC,Tumor
1509,1510,Tumor 1,Tumor
1506,1507,Tumor 1,Tumor
1542,1543,Tumor 6 / DC,Tumor
1577,1578,Tumor 1,Tumor
1580,1581,Tumor 1,Tumor
1609,1610,Tumor 1,Tumor
1579,1580,Tumor 1,Tumor
1790,1791,Tumor 1,Tumor
1755,1756,Tumor 1,Tumor
1807,1808,Tumor 1,Tumor
825,826,Tumor 2 (Ki67 Proliferating),Tumor
1023,1024,Tumor 1,Tumor
1377,1378,Tumor 6 / DC,Tumor
1414,1415,Tumor 6 / DC,Tumor
1371,1372,Tumor 6 / DC,Tumor
1353,1354,Tumor 6 / DC,Tumor
1349,1350,Tumor 1,Tumor
1364,1365,Tumor 1,Tumor
1378,1379,Tumor 1,Tumor
732,733,Tumor 1,Tumor
665,666,Tumor 7,Tumor
599,600,Tumor 6 / DC,Tumor
966,967,Tumor 1,Tumor
1012,1013,Tumor 1,Tumor
1032,1033,Tumor 7,Tumor
1086,1087,Tumor 3,Tumor
903,904,Tumor 1,Tumor
1196,1197,Tumor 2 (Ki67 Proliferating),Tumor
1213,1214,Tumor 2 (Ki67 Proliferating),Tumor
1243,1244,Tumor 2 (Ki67 Proliferating),Tumor
748,749,Tumor 7,Tumor
778,779,Tumor 3,Tumor
730,731,Tumor 7,Tumor
744,745,Tumor 7,Tumor
749,750,Tumor 1,Tumor
779,780,Tumor 1,Tumor
942,943,Tumor 1,Tumor
968,969,Tumor 1,Tumor
964,965,Tumor 1,Tumor
931,932,Tumor 1,Tumor
886,887,Tumor 1,Tumor
885,886,Tumor 6 / DC,Tumor
795,796,Tumor 2 (Ki67 Proliferating),Tumor
896,897,Tumor 4,Tumor
978,979,Tumor 1,Tumor
1002,1003,Tumor 2 (Ki67 Proliferating),Tumor
998,999,Tumor 2 (Ki67 Proliferating),Tumor
939,940,Tumor 2 (Ki67 Proliferating),Tumor
1141,1142,Tumor 4,Tumor
1707,1708,Tumor 6 / DC,Tumor
105,106,Tumor 6 / DC,Tumor
1851,1852,Tumor 7,Tumor
1826,1827,Tumor 1,Tumor
1798,1799,Tumor 4,Tumor
