,CELL_ID,CELL_TYPE,CELL_CLASS
915,916,Tumor 1,Tumor
1004,1005,Tumor 4,Tumor
736,737,Tumor 1,Tumor
518,519,Tumor 4,Tumor
11,12,Tumor 4,Tumor
376,377,Tumor 6 / DC,Tumor
466,467,Tumor 6 / DC,Tumor
826,827,Tumor 1,Tumor
948,949,Tumor 1,Tumor
700,701,Tumor 4,Tumor
1028,1029,Tumor 7,Tumor
1022,1023,Tumor 7,Tumor
1045,1046,Tumor 7,Tumor
998,999,Tumor 7,Tumor
1213,1214,Tumor 4,Tumor
976,977,Tumor 7,Tumor
934,935,Tumor 7,Tumor
1076,1077,Tumor 4,Tumor
1043,1044,Tumor 1,Tumor
1106,1107,Tumor 2 (Ki67 Proliferating),Tumor
1062,1063,Tumor 4,Tumor
1170,1171,Tumor 2 (Ki67 Proliferating),Tumor
1069,1070,Tumor 4,Tumor
1397,1398,Tumor 4,Tumor
1033,1034,Tumor 3,Tumor
709,710,Tumor 4,Tumor
124,125,Tumor 4,Tumor
484,485,Tumor 4,Tumor
494,495,Tumor 7,Tumor
369,370,Tumor 6 / DC,Tumor
777,778,Tumor 7,Tumor
789,790,Tumor 1,Tumor
750,751,Tumor 1,Tumor
537,538,Tumor 2 (Ki67 Proliferating),Tumor
236,237,Tumor 7,Tumor
414,415,Tumor 4,Tumor
115,116,Tumor 3,Tumor
309,310,Tumor 2 (Ki67 Proliferating),Tumor
307,308,Tumor 2 (Ki67 Proliferating),Tumor
360,361,Tumor 4,Tumor
252,253,Tumor 3,Tumor
1008,1009,Tumor 4,Tumor
968,969,Tumor 1,Tumor
990,991,Tumor 7,Tumor
1134,1135,Tumor 4,Tumor
1158,1159,Tumor 3,Tumor
956,957,Tumor 7,Tumor
1131,1132,Tumor 4,Tumor
1403,1404,Tumor 4,Tumor
1176,1177,Tumor 4,Tumor
781,782,Tumor 1,Tumor
950,951,Tumor 4,Tumor
888,889,Tumor 3,Tumor
1392,1393,Tumor 4,Tumor
1356,1357,Tumor 3,Tumor
344,345,Tumor 3,Tumor
388,389,Tumor 3,Tumor
330,331,Tumor 7,Tumor
71,72,Tumor 4,Tumor
9,10,Tumor 4,Tumor
395,396,Tumor 2 (Ki67 Proliferating),Tumor
300,301,Tumor 4,Tumor
535,536,Tumor 2 (Ki67 Proliferating),Tumor
525,526,Tumor 7,Tumor
541,542,Tumor 4,Tumor
795,796,Tumor 1,Tumor
788,789,Tumor 7,Tumor
605,606,Tumor 4,Tumor
586,587,Tumor 4,Tumor
58,59,Tumor 4,Tumor
133,134,Tumor 4,Tumor
157,158,Tumor 4,Tumor
424,425,Tumor 4,Tumor
512,513,Tumor 4,Tumor
151,152,Tumor 3,Tumor
223,224,Tumor 3,Tumor
232,233,Tumor 2 (Ki67 Proliferating),Tumor
353,354,Tumor 4,Tumor
298,299,Tumor 6 / DC,Tumor
465,466,Tumor 4,Tumor
447,448,Tumor 4,Tumor
477,478,Tumor 2 (Ki67 Proliferating),Tumor
443,444,Tumor 4,Tumor
471,472,Tumor 4,Tumor
