,CELL_ID,CELL_TYPE,CELL_CLASS
2503,2504,Tumor 4,Tumor
2488,2489,Tumor 1,Tumor
2497,2498,Tumor 3,Tumor
2364,2365,Tumor 1,Tumor
2504,2505,Tumor 3,Tumor
2511,2512,Tumor 4,Tumor
2487,2488,Tumor 1,Tumor
2521,2522,Tumor 4,Tumor
2380,2381,Tumor 1,Tumor
2388,2389,Tumor 1,Tumor
2479,2480,Tumor 1,Tumor
2389,2390,Tumor 1,Tumor
2403,2404,Tumor 1,Tumor
2513,2514,Tumor 4,Tumor
2334,2335,Tumor 1,Tumor
2476,2477,Tumor 1,Tumor
2500,2501,Tumor 3,Tumor
1599,1600,Tumor 4,Tumor
1646,1647,Tumor 6 / DC,Tumor
2234,2235,Tumor 1,Tumor
2252,2253,Tumor 1,Tumor
2460,2461,Tumor 2 (Ki67 Proliferating),Tumor
2372,2373,Tumor 1,Tumor
2455,2456,Tumor 7,Tumor
1959,1960,Tumor 1,Tumor
1589,1590,Tumor 6 / DC,Tumor
2241,2242,Tumor 1,Tumor
227,228,Tumor 2 (Ki67 Proliferating),Tumor
51,52,Tumor 1,Tumor
74,75,Tumor 2 (Ki67 Proliferating),Tumor
1,2,Tumor 4,Tumor
355,356,Tumor 2 (Ki67 Proliferating),Tumor
2514,2515,Tumor 4,Tumor
2492,2493,Tumor 7,Tumor
2393,2394,Tumor 1,Tumor
2417,2418,Tumor 1,Tumor
2390,2391,Tumor 1,Tumor
2456,2457,Tumor 1,Tumor
2450,2451,Tumor 1,Tumor
2038,2039,Tumor 2 (Ki67 Proliferating),Tumor
249,250,Tumor 3,Tumor
239,240,Tumor 3,Tumor
1068,1069,Tumor 4,Tumor
1111,1112,Tumor 4,Tumor
1138,1139,Tumor 6 / DC,Tumor
1208,1209,Tumor 4,Tumor
1195,1196,Tumor 4,Tumor
2223,2224,Tumor 7,Tumor
1997,1998,Tumor 1,Tumor
2294,2295,Tumor 1,Tumor
2307,2308,Tumor 1,Tumor
2316,2317,Tumor 7,Tumor
2270,2271,Tumor 1,Tumor
2281,2282,Tumor 7,Tumor
2259,2260,Tumor 3,Tumor
2187,2188,Tumor 6 / DC,Tumor
2298,2299,Tumor 4,Tumor
2290,2291,Tumor 1,Tumor
2235,2236,Tumor 3,Tumor
2213,2214,Tumor 4,Tumor
2267,2268,Tumor 7,Tumor
2319,2320,Tumor 4,Tumor
2342,2343,Tumor 7,Tumor
2368,2369,Tumor 2 (Ki67 Proliferating),Tumor
2362,2363,Tumor 4,Tumor
2383,2384,Tumor 4,Tumor
2194,2195,Tumor 7,Tumor
2129,2130,Tumor 4,Tumor
2029,2030,Tumor 4,Tumor
2189,2190,Tumor 7,Tumor
2215,2216,Tumor 4,Tumor
2248,2249,Tumor 4,Tumor
2284,2285,Tumor 4,Tumor
2289,2290,Tumor 3,Tumor
2149,2150,Tumor 3,Tumor
2303,2304,Tumor 2 (Ki67 Proliferating),Tumor
1628,1629,Tumor 3,Tumor
2371,2372,Tumor 1,Tumor
2405,2406,Tumor 7,Tumor
2379,2380,Tumor 3,Tumor
1790,1791,Tumor 1,Tumor
2214,2215,Tumor 7,Tumor
2242,2243,Tumor 1,Tumor
2250,2251,Tumor 1,Tumor
2142,2143,Tumor 1,Tumor
2180,2181,Tumor 1,Tumor
1927,1928,Tumor 1,Tumor
1906,1907,Tumor 1,Tumor
1901,1902,Tumor 1,Tumor
1859,1860,Tumor 1,Tumor
1913,1914,Tumor 1,Tumor
1955,1956,Tumor 1,Tumor
1896,1897,Tumor 1,Tumor
2092,2093,Tumor 1,Tumor
2099,2100,Tumor 1,Tumor
2264,2265,Tumor 3,Tumor
2340,2341,Tumor 1,Tumor
2285,2286,Tumor 1,Tumor
2212,2213,Tumor 1,Tumor
2277,2278,Tumor 1,Tumor
2255,2256,Tumor 1,Tumor
2297,2298,Tumor 1,Tumor
670,671,Tumor 1,Tumor
481,482,Tumor 1,Tumor
472,473,Tumor 1,Tumor
155,156,Tumor 3,Tumor
201,202,Tumor 2 (Ki67 Proliferating),Tumor
308,309,Tumor 3,Tumor
122,123,Tumor 4,Tumor
134,135,Tumor 4,Tumor
143,144,Tumor 4,Tumor
154,155,Tumor 3,Tumor
111,112,Tumor 4,Tumor
22,23,Tumor 3,Tumor
12,13,Tumor 1,Tumor
33,34,Tumor 4,Tumor
110,111,Tumor 4,Tumor
36,37,Tumor 7,Tumor
43,44,Tumor 1,Tumor
93,94,Tumor 3,Tumor
26,27,Tumor 1,Tumor
76,77,Tumor 1,Tumor
83,84,Tumor 1,Tumor
59,60,Tumor 1,Tumor
170,171,Tumor 1,Tumor
141,142,Tumor 1,Tumor
116,117,Tumor 2 (Ki67 Proliferating),Tumor
150,151,Tumor 4,Tumor
192,193,Tumor 4,Tumor
228,229,Tumor 4,Tumor
13,14,Tumor 1,Tumor
53,54,Tumor 6 / DC,Tumor
114,115,Tumor 4,Tumor
838,839,Tumor 4,Tumor
488,489,Tumor 6 / DC,Tumor
1739,1740,Tumor 6 / DC,Tumor
1699,1700,Tumor 6 / DC,Tumor
2069,2070,Tumor 4,Tumor
2220,2221,Tumor 1,Tumor
2273,2274,Tumor 3,Tumor
2271,2272,Tumor 3,Tumor
2287,2288,Tumor 2 (Ki67 Proliferating),Tumor
2467,2468,Tumor 2 (Ki67 Proliferating),Tumor
2411,2412,Tumor 2 (Ki67 Proliferating),Tumor
2506,2507,Tumor 4,Tumor
2452,2453,Tumor 7,Tumor
2324,2325,Tumor 1,Tumor
2317,2318,Tumor 1,Tumor
2518,2519,Tumor 4,Tumor
2489,2490,Tumor 7,Tumor
2519,2520,Tumor 4,Tumor
2227,2228,Tumor 3,Tumor
2027,2028,Tumor 6 / DC,Tumor
2072,2073,Tumor 2 (Ki67 Proliferating),Tumor
2173,2174,Tumor 6 / DC,Tumor
2108,2109,Tumor 3,Tumor
2163,2164,Tumor 6 / DC,Tumor
989,990,Tumor 6 / DC,Tumor
1232,1233,Tumor 6 / DC,Tumor
1569,1570,Tumor 4,Tumor
1566,1567,Tumor 4,Tumor
1261,1262,Tumor 4,Tumor
1548,1549,Tumor 4,Tumor
1112,1113,Tumor 6 / DC,Tumor
1142,1143,Tumor 6 / DC,Tumor
812,813,Tumor 4,Tumor
603,604,Tumor 2 (Ki67 Proliferating),Tumor
610,611,Tumor 6 / DC,Tumor
692,693,Tumor 4,Tumor
584,585,Tumor 2 (Ki67 Proliferating),Tumor
196,197,Tumor 4,Tumor
224,225,Tumor 4,Tumor
176,177,Tumor 4,Tumor
166,167,Tumor 4,Tumor
529,530,Tumor 4,Tumor
319,320,Tumor 4,Tumor
294,295,Tumor 4,Tumor
276,277,Tumor 2 (Ki67 Proliferating),Tumor
568,569,Tumor 2 (Ki67 Proliferating),Tumor
617,618,Tumor 6 / DC,Tumor
681,682,Tumor 4,Tumor
1033,1034,Tumor 2 (Ki67 Proliferating),Tumor
587,588,Tumor 4,Tumor
579,580,Tumor 4,Tumor
685,686,Tumor 2 (Ki67 Proliferating),Tumor
622,623,Tumor 4,Tumor
782,783,Tumor 4,Tumor
893,894,Tumor 2 (Ki67 Proliferating),Tumor
1225,1226,Tumor 3,Tumor
1262,1263,Tumor 2 (Ki67 Proliferating),Tumor
1222,1223,Tumor 6 / DC,Tumor
1156,1157,Tumor 6 / DC,Tumor
1919,1920,Tumor 6 / DC,Tumor
1932,1933,Tumor 2 (Ki67 Proliferating),Tumor
1871,1872,Tumor 4,Tumor
1212,1213,Tumor 2 (Ki67 Proliferating),Tumor
1073,1074,Tumor 4,Tumor
1337,1338,Tumor 4,Tumor
1100,1101,Tumor 6 / DC,Tumor
1096,1097,Tumor 6 / DC,Tumor
1571,1572,Tumor 6 / DC,Tumor
1198,1199,Tumor 2 (Ki67 Proliferating),Tumor
1250,1251,Tumor 2 (Ki67 Proliferating),Tumor
1191,1192,Tumor 2 (Ki67 Proliferating),Tumor
1214,1215,Tumor 4,Tumor
1316,1317,Tumor 3,Tumor
1249,1250,Tumor 6 / DC,Tumor
1204,1205,Tumor 6 / DC,Tumor
842,843,Tumor 2 (Ki67 Proliferating),Tumor
873,874,Tumor 6 / DC,Tumor
974,975,Tumor 1,Tumor
2196,2197,Tumor 7,Tumor
2063,2064,Tumor 1,Tumor
2447,2448,Tumor 6 / DC,Tumor
2466,2467,Tumor 2 (Ki67 Proliferating),Tumor
2419,2420,Tumor 4,Tumor
2413,2414,Tumor 4,Tumor
2237,2238,Tumor 4,Tumor
2233,2234,Tumor 4,Tumor
2269,2270,Tumor 4,Tumor
2258,2259,Tumor 2 (Ki67 Proliferating),Tumor
2224,2225,Tumor 2 (Ki67 Proliferating),Tumor
2254,2255,Tumor 4,Tumor
2000,2001,Tumor 6 / DC,Tumor
2136,2137,Tumor 4,Tumor
2332,2333,Tumor 2 (Ki67 Proliferating),Tumor
2314,2315,Tumor 2 (Ki67 Proliferating),Tumor
2339,2340,Tumor 4,Tumor
2495,2496,Tumor 4,Tumor
2472,2473,Tumor 2 (Ki67 Proliferating),Tumor
2353,2354,Tumor 2 (Ki67 Proliferating),Tumor
2312,2313,Tumor 2 (Ki67 Proliferating),Tumor
2320,2321,Tumor 4,Tumor
2083,2084,Tumor 3,Tumor
2022,2023,Tumor 1,Tumor
2200,2201,Tumor 4,Tumor
2145,2146,Tumor 4,Tumor
2103,2104,Tumor 4,Tumor
2054,2055,Tumor 3,Tumor
2018,2019,Tumor 3,Tumor
1903,1904,Tumor 2 (Ki67 Proliferating),Tumor
1953,1954,Tumor 6 / DC,Tumor
2097,2098,Tumor 4,Tumor
1956,1957,Tumor 6 / DC,Tumor
1987,1988,Tumor 6 / DC,Tumor
1737,1738,Tumor 6 / DC,Tumor
1682,1683,Tumor 6 / DC,Tumor
1770,1771,Tumor 6 / DC,Tumor
1816,1817,Tumor 4,Tumor
1488,1489,Tumor 4,Tumor
1441,1442,Tumor 2 (Ki67 Proliferating),Tumor
1481,1482,Tumor 4,Tumor
1323,1324,Tumor 3,Tumor
1971,1972,Tumor 4,Tumor
1996,1997,Tumor 4,Tumor
2392,2393,Tumor 6 / DC,Tumor
1746,1747,Tumor 2 (Ki67 Proliferating),Tumor
1777,1778,Tumor 2 (Ki67 Proliferating),Tumor
1883,1884,Tumor 1,Tumor
1753,1754,Tumor 7,Tumor
1800,1801,Tumor 3,Tumor
1950,1951,Tumor 7,Tumor
1905,1906,Tumor 1,Tumor
2059,2060,Tumor 1,Tumor
1983,1984,Tumor 3,Tumor
2061,2062,Tumor 1,Tumor
2012,2013,Tumor 1,Tumor
1951,1952,Tumor 1,Tumor
2042,2043,Tumor 1,Tumor
2078,2079,Tumor 7,Tumor
2060,2061,Tumor 1,Tumor
1962,1963,Tumor 1,Tumor
2122,2123,Tumor 1,Tumor
2118,2119,Tumor 1,Tumor
2184,2185,Tumor 7,Tumor
2127,2128,Tumor 2 (Ki67 Proliferating),Tumor
2205,2206,Tumor 1,Tumor
2172,2173,Tumor 3,Tumor
2207,2208,Tumor 1,Tumor
2131,2132,Tumor 1,Tumor
2240,2241,Tumor 1,Tumor
2222,2223,Tumor 1,Tumor
2198,2199,Tumor 1,Tumor
2159,2160,Tumor 7,Tumor
2306,2307,Tumor 2 (Ki67 Proliferating),Tumor
2296,2297,Tumor 7,Tumor
2274,2275,Tumor 7,Tumor
2278,2279,Tumor 1,Tumor
2359,2360,Tumor 1,Tumor
674,675,Tumor 3,Tumor
666,667,Tumor 3,Tumor
613,614,Tumor 4,Tumor
494,495,Tumor 1,Tumor
504,505,Tumor 1,Tumor
888,889,Tumor 1,Tumor
849,850,Tumor 1,Tumor
750,751,Tumor 2 (Ki67 Proliferating),Tumor
612,613,Tumor 7,Tumor
708,709,Tumor 4,Tumor
327,328,Tumor 4,Tumor
100,101,Tumor 2 (Ki67 Proliferating),Tumor
130,131,Tumor 2 (Ki67 Proliferating),Tumor
118,119,Tumor 2 (Ki67 Proliferating),Tumor
247,248,Tumor 2 (Ki67 Proliferating),Tumor
230,231,Tumor 3,Tumor
178,179,Tumor 4,Tumor
175,176,Tumor 3,Tumor
277,278,Tumor 2 (Ki67 Proliferating),Tumor
34,35,Tumor 3,Tumor
98,99,Tumor 4,Tumor
40,41,Tumor 3,Tumor
97,98,Tumor 4,Tumor
23,24,Tumor 3,Tumor
78,79,Tumor 3,Tumor
96,97,Tumor 4,Tumor
64,65,Tumor 2 (Ki67 Proliferating),Tumor
104,105,Tumor 3,Tumor
75,76,Tumor 4,Tumor
62,63,Tumor 4,Tumor
54,55,Tumor 4,Tumor
55,56,Tumor 4,Tumor
145,146,Tumor 4,Tumor
94,95,Tumor 4,Tumor
121,122,Tumor 2 (Ki67 Proliferating),Tumor
191,192,Tumor 4,Tumor
120,121,Tumor 1,Tumor
367,368,Tumor 1,Tumor
300,301,Tumor 1,Tumor
180,181,Tumor 1,Tumor
243,244,Tumor 4,Tumor
179,180,Tumor 2 (Ki67 Proliferating),Tumor
81,82,Tumor 6 / DC,Tumor
113,114,Tumor 4,Tumor
123,124,Tumor 2 (Ki67 Proliferating),Tumor
132,133,Tumor 2 (Ki67 Proliferating),Tumor
79,80,Tumor 2 (Ki67 Proliferating),Tumor
101,102,Tumor 2 (Ki67 Proliferating),Tumor
87,88,Tumor 4,Tumor
220,221,Tumor 2 (Ki67 Proliferating),Tumor
375,376,Tumor 2 (Ki67 Proliferating),Tumor
266,267,Tumor 4,Tumor
317,318,Tumor 6 / DC,Tumor
311,312,Tumor 4,Tumor
237,238,Tumor 6 / DC,Tumor
503,504,Tumor 6 / DC,Tumor
45,46,Tumor 4,Tumor
4,5,Tumor 6 / DC,Tumor
14,15,Tumor 1,Tumor
31,32,Tumor 3,Tumor
1114,1115,Tumor 4,Tumor
495,496,Tumor 2 (Ki67 Proliferating),Tumor
528,529,Tumor 2 (Ki67 Proliferating),Tumor
523,524,Tumor 2 (Ki67 Proliferating),Tumor
129,130,Tumor 4,Tumor
396,397,Tumor 4,Tumor
364,365,Tumor 3,Tumor
459,460,Tumor 7,Tumor
441,442,Tumor 2 (Ki67 Proliferating),Tumor
717,718,Tumor 4,Tumor
1933,1934,Tumor 2 (Ki67 Proliferating),Tumor
1952,1953,Tumor 4,Tumor
1964,1965,Tumor 4,Tumor
1981,1982,Tumor 4,Tumor
2032,2033,Tumor 2 (Ki67 Proliferating),Tumor
2262,2263,Tumor 4,Tumor
2236,2237,Tumor 7,Tumor
2221,2222,Tumor 4,Tumor
2169,2170,Tumor 6 / DC,Tumor
2197,2198,Tumor 3,Tumor
2253,2254,Tumor 3,Tumor
2398,2399,Tumor 1,Tumor
2451,2452,Tumor 1,Tumor
2464,2465,Tumor 7,Tumor
2471,2472,Tumor 1,Tumor
2428,2429,Tumor 4,Tumor
2431,2432,Tumor 7,Tumor
2415,2416,Tumor 7,Tumor
2427,2428,Tumor 1,Tumor
2326,2327,Tumor 2 (Ki67 Proliferating),Tumor
2256,2257,Tumor 4,Tumor
2208,2209,Tumor 2 (Ki67 Proliferating),Tumor
2355,2356,Tumor 7,Tumor
2382,2383,Tumor 7,Tumor
2397,2398,Tumor 7,Tumor
2266,2267,Tumor 1,Tumor
2349,2350,Tumor 1,Tumor
2261,2262,Tumor 3,Tumor
2295,2296,Tumor 1,Tumor
2282,2283,Tumor 1,Tumor
1072,1073,Tumor 4,Tumor
1079,1080,Tumor 6 / DC,Tumor
1082,1083,Tumor 4,Tumor
2181,2182,Tumor 1,Tumor
2226,2227,Tumor 2 (Ki67 Proliferating),Tumor
2135,2136,Tumor 2 (Ki67 Proliferating),Tumor
2087,2088,Tumor 4,Tumor
2125,2126,Tumor 2 (Ki67 Proliferating),Tumor
2188,2189,Tumor 7,Tumor
1186,1187,Tumor 4,Tumor
1128,1129,Tumor 3,Tumor
1218,1219,Tumor 4,Tumor
1174,1175,Tumor 6 / DC,Tumor
996,997,Tumor 3,Tumor
1034,1035,Tumor 6 / DC,Tumor
1087,1088,Tumor 1,Tumor
667,668,Tumor 4,Tumor
1233,1234,Tumor 1,Tumor
1295,1296,Tumor 4,Tumor
1254,1255,Tumor 6 / DC,Tumor
1282,1283,Tumor 4,Tumor
1335,1336,Tumor 4,Tumor
1291,1292,Tumor 4,Tumor
1351,1352,Tumor 4,Tumor
1303,1304,Tumor 2 (Ki67 Proliferating),Tumor
1292,1293,Tumor 2 (Ki67 Proliferating),Tumor
1403,1404,Tumor 6 / DC,Tumor
1452,1453,Tumor 4,Tumor
1391,1392,Tumor 6 / DC,Tumor
1437,1438,Tumor 4,Tumor
1360,1361,Tumor 6 / DC,Tumor
1109,1110,Tumor 4,Tumor
1101,1102,Tumor 4,Tumor
1080,1081,Tumor 4,Tumor
1056,1057,Tumor 4,Tumor
1187,1188,Tumor 4,Tumor
1196,1197,Tumor 6 / DC,Tumor
1243,1244,Tumor 4,Tumor
1166,1167,Tumor 4,Tumor
1124,1125,Tumor 4,Tumor
629,630,Tumor 3,Tumor
707,708,Tumor 4,Tumor
657,658,Tumor 6 / DC,Tumor
677,678,Tumor 6 / DC,Tumor
793,794,Tumor 3,Tumor
295,296,Tumor 6 / DC,Tumor
366,367,Tumor 4,Tumor
326,327,Tumor 2 (Ki67 Proliferating),Tumor
548,549,Tumor 4,Tumor
561,562,Tumor 2 (Ki67 Proliferating),Tumor
618,619,Tumor 4,Tumor
636,637,Tumor 2 (Ki67 Proliferating),Tumor
506,507,Tumor 6 / DC,Tumor
414,415,Tumor 2 (Ki67 Proliferating),Tumor
385,386,Tumor 2 (Ki67 Proliferating),Tumor
498,499,Tumor 2 (Ki67 Proliferating),Tumor
487,488,Tumor 4,Tumor
540,541,Tumor 2 (Ki67 Proliferating),Tumor
475,476,Tumor 3,Tumor
811,812,Tumor 2 (Ki67 Proliferating),Tumor
684,685,Tumor 2 (Ki67 Proliferating),Tumor
746,747,Tumor 6 / DC,Tumor
1005,1006,Tumor 3,Tumor
1077,1078,Tumor 3,Tumor
1052,1053,Tumor 4,Tumor
924,925,Tumor 4,Tumor
887,888,Tumor 6 / DC,Tumor
792,793,Tumor 2 (Ki67 Proliferating),Tumor
1662,1663,Tumor 6 / DC,Tumor
1647,1648,Tumor 2 (Ki67 Proliferating),Tumor
1631,1632,Tumor 3,Tumor
1899,1900,Tumor 2 (Ki67 Proliferating),Tumor
1958,1959,Tumor 3,Tumor
2179,2180,Tumor 6 / DC,Tumor
2140,2141,Tumor 2 (Ki67 Proliferating),Tumor
2201,2202,Tumor 7,Tumor
1829,1830,Tumor 4,Tumor
1788,1789,Tumor 2 (Ki67 Proliferating),Tumor
1872,1873,Tumor 4,Tumor
1850,1851,Tumor 2 (Ki67 Proliferating),Tumor
1881,1882,Tumor 4,Tumor
1853,1854,Tumor 4,Tumor
1607,1608,Tumor 2 (Ki67 Proliferating),Tumor
