,CELL_ID,CELL_TYPE,CELL_CLASS
931,932,Tumor 4,Tumor
1061,1062,Tumor 6 / DC,Tumor
1270,1271,Tumor 3,Tumor
1308,1309,Tumor 2 (Ki67 Proliferating),Tumor
961,962,Tumor 4,Tumor
934,935,Tumor 4,Tumor
5,6,Tumor 4,Tumor
937,938,Tumor 1,Tumor
608,609,Tumor 6 / DC,Tumor
1303,1304,Tumor 2 (Ki67 Proliferating),Tumor
1064,1065,Tumor 4,Tumor
1253,1254,Tumor 6 / DC,Tumor
1203,1204,Tumor 7,Tumor
1202,1203,Tumor 3,Tumor
1165,1166,Tumor 4,Tumor
1185,1186,Tumor 6 / DC,Tumor
1302,1303,Tumor 2 (Ki67 Proliferating),Tumor
1335,1336,Tumor 4,Tumor
1227,1228,Tumor 2 (Ki67 Proliferating),Tumor
41,42,Tumor 4,Tumor
1180,1181,Tumor 4,Tumor
623,624,Tumor 4,Tumor
4,5,Tumor 3,Tumor
767,768,Tumor 1,Tumor
760,761,Tumor 4,Tumor
3,4,Tumor 4,Tumor
625,626,Tumor 6 / DC,Tumor
613,614,Tumor 6 / DC,Tumor
607,608,Tumor 4,Tumor
974,975,Tumor 6 / DC,Tumor
970,971,Tumor 4,Tumor
952,953,Tumor 4,Tumor
879,880,Tumor 7,Tumor
1022,1023,Tumor 1,Tumor
834,835,Tumor 4,Tumor
821,822,Tumor 4,Tumor
1116,1117,Tumor 6 / DC,Tumor
1151,1152,Tumor 7,Tumor
1141,1142,Tumor 1,Tumor
1120,1121,Tumor 7,Tumor
972,973,Tumor 4,Tumor
1040,1041,Tumor 4,Tumor
956,957,Tumor 4,Tumor
915,916,Tumor 3,Tumor
940,941,Tumor 4,Tumor
981,982,Tumor 7,Tumor
965,966,Tumor 4,Tumor
856,857,Tumor 4,Tumor
829,830,Tumor 3,Tumor
1288,1289,Tumor 4,Tumor
1322,1323,Tumor 7,Tumor
1287,1288,Tumor 7,Tumor
1313,1314,Tumor 2 (Ki67 Proliferating),Tumor
1274,1275,Tumor 3,Tumor
1306,1307,Tumor 7,Tumor
1268,1269,Tumor 6 / DC,Tumor
1272,1273,Tumor 7,Tumor
1297,1298,Tumor 7,Tumor
560,561,Tumor 4,Tumor
545,546,Tumor 4,Tumor
529,530,Tumor 4,Tumor
544,545,Tumor 4,Tumor
555,556,Tumor 4,Tumor
299,300,Tumor 4,Tumor
301,302,Tumor 3,Tumor
35,36,Tumor 4,Tumor
1347,1348,Tumor 4,Tumor
1157,1158,Tumor 6 / DC,Tumor
1184,1185,Tumor 2 (Ki67 Proliferating),Tumor
992,993,Tumor 4,Tumor
1016,1017,Tumor 4,Tumor
900,901,Tumor 4,Tumor
815,816,Tumor 4,Tumor
800,801,Tumor 6 / DC,Tumor
845,846,Tumor 4,Tumor
871,872,Tumor 4,Tumor
749,750,Tumor 4,Tumor
917,918,Tumor 4,Tumor
954,955,Tumor 4,Tumor
921,922,Tumor 3,Tumor
967,968,Tumor 6 / DC,Tumor
716,717,Tumor 4,Tumor
812,813,Tumor 4,Tumor
495,496,Tumor 6 / DC,Tumor
487,488,Tumor 4,Tumor
477,478,Tumor 4,Tumor
745,746,Tumor 6 / DC,Tumor
785,786,Tumor 4,Tumor
817,818,Tumor 3,Tumor
720,721,Tumor 3,Tumor
644,645,Tumor 4,Tumor
1053,1054,Tumor 4,Tumor
1026,1027,Tumor 6 / DC,Tumor
1047,1048,Tumor 1,Tumor
953,954,Tumor 1,Tumor
1070,1071,Tumor 3,Tumor
1105,1106,Tumor 2 (Ki67 Proliferating),Tumor
1100,1101,Tumor 7,Tumor
1117,1118,Tumor 7,Tumor
701,702,Tumor 7,Tumor
710,711,Tumor 7,Tumor
679,680,Tumor 3,Tumor
683,684,Tumor 4,Tumor
878,879,Tumor 1,Tumor
31,32,Tumor 6 / DC,Tumor
108,109,Tumor 4,Tumor
14,15,Tumor 4,Tumor
1,2,Tumor 4,Tumor
640,641,Tumor 4,Tumor
700,701,Tumor 4,Tumor
673,674,Tumor 4,Tumor
642,643,Tumor 4,Tumor
669,670,Tumor 6 / DC,Tumor
730,731,Tumor 3,Tumor
1011,1012,Tumor 1,Tumor
1045,1046,Tumor 1,Tumor
729,730,Tumor 4,Tumor
686,687,Tumor 4,Tumor
734,735,Tumor 4,Tumor
1110,1111,Tumor 7,Tumor
1085,1086,Tumor 7,Tumor
1263,1264,Tumor 2 (Ki67 Proliferating),Tumor
1236,1237,Tumor 2 (Ki67 Proliferating),Tumor
1218,1219,Tumor 7,Tumor
1089,1090,Tumor 4,Tumor
1281,1282,Tumor 4,Tumor
1321,1322,Tumor 7,Tumor
1317,1318,Tumor 7,Tumor
1336,1337,Tumor 6 / DC,Tumor
434,435,Tumor 6 / DC,Tumor
350,351,Tumor 4,Tumor
251,252,Tumor 4,Tumor
200,201,Tumor 4,Tumor
227,228,Tumor 4,Tumor
239,240,Tumor 1,Tumor
22,23,Tumor 2 (Ki67 Proliferating),Tumor
49,50,Tumor 4,Tumor
56,57,Tumor 6 / DC,Tumor
192,193,Tumor 3,Tumor
358,359,Tumor 4,Tumor
373,374,Tumor 4,Tumor
255,256,Tumor 6 / DC,Tumor
228,229,Tumor 4,Tumor
302,303,Tumor 1,Tumor
206,207,Tumor 4,Tumor
170,171,Tumor 4,Tumor
207,208,Tumor 6 / DC,Tumor
213,214,Tumor 4,Tumor
182,183,Tumor 4,Tumor
155,156,Tumor 4,Tumor
89,90,Tumor 4,Tumor
94,95,Tumor 4,Tumor
1260,1261,Tumor 2 (Ki67 Proliferating),Tumor
1251,1252,Tumor 2 (Ki67 Proliferating),Tumor
1332,1333,Tumor 7,Tumor
1167,1168,Tumor 2 (Ki67 Proliferating),Tumor
1295,1296,Tumor 7,Tumor
1264,1265,Tumor 2 (Ki67 Proliferating),Tumor
1237,1238,Tumor 7,Tumor
1013,1014,Tumor 6 / DC,Tumor
1239,1240,Tumor 7,Tumor
1208,1209,Tumor 7,Tumor
1055,1056,Tumor 7,Tumor
1020,1021,Tumor 7,Tumor
990,991,Tumor 6 / DC,Tumor
951,952,Tumor 4,Tumor
848,849,Tumor 4,Tumor
839,840,Tumor 4,Tumor
777,778,Tumor 4,Tumor
793,794,Tumor 4,Tumor
846,847,Tumor 4,Tumor
617,618,Tumor 4,Tumor
666,667,Tumor 4,Tumor
629,630,Tumor 4,Tumor
586,587,Tumor 4,Tumor
517,518,Tumor 7,Tumor
971,972,Tumor 3,Tumor
737,738,Tumor 7,Tumor
887,888,Tumor 1,Tumor
913,914,Tumor 3,Tumor
919,920,Tumor 3,Tumor
901,902,Tumor 1,Tumor
938,939,Tumor 4,Tumor
909,910,Tumor 3,Tumor
776,777,Tumor 4,Tumor
748,749,Tumor 7,Tumor
880,881,Tumor 4,Tumor
896,897,Tumor 6 / DC,Tumor
906,907,Tumor 1,Tumor
831,832,Tumor 6 / DC,Tumor
1177,1178,Tumor 4,Tumor
982,983,Tumor 1,Tumor
945,946,Tumor 1,Tumor
922,923,Tumor 1,Tumor
957,958,Tumor 7,Tumor
969,970,Tumor 6 / DC,Tumor
936,937,Tumor 3,Tumor
17,18,Tumor 4,Tumor
725,726,Tumor 3,Tumor
714,715,Tumor 6 / DC,Tumor
167,168,Tumor 4,Tumor
76,77,Tumor 4,Tumor
742,743,Tumor 1,Tumor
773,774,Tumor 1,Tumor
707,708,Tumor 1,Tumor
853,854,Tumor 7,Tumor
759,760,Tumor 7,Tumor
763,764,Tumor 3,Tumor
942,943,Tumor 7,Tumor
908,909,Tumor 3,Tumor
837,838,Tumor 7,Tumor
42,43,Tumor 4,Tumor
39,40,Tumor 3,Tumor
15,16,Tumor 4,Tumor
62,63,Tumor 4,Tumor
52,53,Tumor 4,Tumor
23,24,Tumor 4,Tumor
44,45,Tumor 4,Tumor
116,117,Tumor 4,Tumor
84,85,Tumor 4,Tumor
136,137,Tumor 6 / DC,Tumor
139,140,Tumor 4,Tumor
77,78,Tumor 4,Tumor
117,118,Tumor 4,Tumor
70,71,Tumor 4,Tumor
674,675,Tumor 6 / DC,Tumor
705,706,Tumor 2 (Ki67 Proliferating),Tumor
606,607,Tumor 7,Tumor
1255,1256,Tumor 7,Tumor
1277,1278,Tumor 4,Tumor
1220,1221,Tumor 3,Tumor
1190,1191,Tumor 6 / DC,Tumor
1160,1161,Tumor 4,Tumor
1126,1127,Tumor 6 / DC,Tumor
1056,1057,Tumor 4,Tumor
1158,1159,Tumor 7,Tumor
1213,1214,Tumor 7,Tumor
432,433,Tumor 4,Tumor
541,542,Tumor 4,Tumor
602,603,Tumor 4,Tumor
389,390,Tumor 2 (Ki67 Proliferating),Tumor
374,375,Tumor 4,Tumor
418,419,Tumor 2 (Ki67 Proliferating),Tumor
378,379,Tumor 4,Tumor
246,247,Tumor 4,Tumor
270,271,Tumor 6 / DC,Tumor
261,262,Tumor 4,Tumor
205,206,Tumor 4,Tumor
176,177,Tumor 3,Tumor
229,230,Tumor 3,Tumor
242,243,Tumor 4,Tumor
210,211,Tumor 4,Tumor
639,640,Tumor 7,Tumor
579,580,Tumor 7,Tumor
469,470,Tumor 6 / DC,Tumor
371,372,Tumor 4,Tumor
274,275,Tumor 7,Tumor
252,253,Tumor 4,Tumor
220,221,Tumor 3,Tumor
216,217,Tumor 4,Tumor
203,204,Tumor 4,Tumor
286,287,Tumor 4,Tumor
290,291,Tumor 4,Tumor
241,242,Tumor 4,Tumor
256,257,Tumor 4,Tumor
309,310,Tumor 6 / DC,Tumor
27,28,Tumor 4,Tumor
183,184,Tumor 4,Tumor
177,178,Tumor 4,Tumor
184,185,Tumor 4,Tumor
190,191,Tumor 4,Tumor
146,147,Tumor 3,Tumor
145,146,Tumor 4,Tumor
