,CELL_ID,CELL_TYPE,CELL_CLASS
53,54,Tumor 4,Tumor
109,110,Tumor 4,Tumor
606,607,Tumor 4,Tumor
1202,1203,Tumor 4,Tumor
348,349,Tumor 4,Tumor
83,84,Tumor 4,Tumor
782,783,Tumor 4,Tumor
621,622,Tumor 4,Tumor
476,477,Tumor 4,Tumor
340,341,Tumor 4,Tumor
1243,1244,Tumor 3,Tumor
1268,1269,Tumor 7,Tumor
1185,1186,Tumor 4,Tumor
1015,1016,Tumor 4,Tumor
1154,1155,Tumor 4,Tumor
393,394,Tumor 4,Tumor
407,408,Tumor 4,Tumor
106,107,Tumor 4,Tumor
113,114,Tumor 4,Tumor
1117,1118,Tumor 4,Tumor
1110,1111,Tumor 4,Tumor
1092,1093,Tumor 4,Tumor
532,533,Tumor 4,Tumor
502,503,Tumor 4,Tumor
1093,1094,Tumor 6 / DC,Tumor
437,438,Tumor 4,Tumor
283,284,Tumor 4,Tumor
307,308,Tumor 4,Tumor
326,327,Tumor 4,Tumor
242,243,Tumor 4,Tumor
1158,1159,Tumor 4,Tumor
1143,1144,Tumor 4,Tumor
989,990,Tumor 7,Tumor
980,981,Tumor 3,Tumor
1004,1005,Tumor 4,Tumor
611,612,Tumor 4,Tumor
781,782,Tumor 7,Tumor
765,766,Tumor 7,Tumor
631,632,Tumor 7,Tumor
661,662,Tumor 7,Tumor
647,648,Tumor 7,Tumor
838,839,Tumor 4,Tumor
580,581,Tumor 4,Tumor
596,597,Tumor 4,Tumor
597,598,Tumor 4,Tumor
912,913,Tumor 4,Tumor
881,882,Tumor 4,Tumor
967,968,Tumor 4,Tumor
1273,1274,Tumor 1,Tumor
1245,1246,Tumor 3,Tumor
1272,1273,Tumor 3,Tumor
1254,1255,Tumor 4,Tumor
766,767,Tumor 7,Tumor
444,445,Tumor 4,Tumor
599,600,Tumor 7,Tumor
445,446,Tumor 4,Tumor
469,470,Tumor 4,Tumor
499,500,Tumor 4,Tumor
493,494,Tumor 4,Tumor
239,240,Tumor 4,Tumor
154,155,Tumor 4,Tumor
365,366,Tumor 4,Tumor
273,274,Tumor 4,Tumor
350,351,Tumor 4,Tumor
800,801,Tumor 4,Tumor
769,770,Tumor 4,Tumor
749,750,Tumor 4,Tumor
770,771,Tumor 4,Tumor
148,149,Tumor 4,Tumor
669,670,Tumor 4,Tumor
1101,1102,Tumor 7,Tumor
1041,1042,Tumor 2 (Ki67 Proliferating),Tumor
509,510,Tumor 4,Tumor
550,551,Tumor 4,Tumor
195,196,Tumor 4,Tumor
882,883,Tumor 4,Tumor
935,936,Tumor 4,Tumor
957,958,Tumor 1,Tumor
923,924,Tumor 4,Tumor
922,923,Tumor 7,Tumor
940,941,Tumor 3,Tumor
949,950,Tumor 4,Tumor
966,967,Tumor 7,Tumor
993,994,Tumor 4,Tumor
1086,1087,Tumor 4,Tumor
1146,1147,Tumor 4,Tumor
1134,1135,Tumor 4,Tumor
1123,1124,Tumor 4,Tumor
1026,1027,Tumor 4,Tumor
1035,1036,Tumor 4,Tumor
1056,1057,Tumor 1,Tumor
