,CELL_ID,CELL_TYPE,CELL_CLASS
18,19,Tumor 4,Tumor
1420,1421,Tumor 4,Tumor
27,28,Tumor 4,Tumor
1408,1409,Tumor 1,Tumor
1463,1464,Tumor 2 (Ki67 Proliferating),Tumor
1502,1503,Tumor 7,Tumor
2553,2554,Tumor 3,Tumor
2473,2474,Tumor 7,Tumor
19,20,Tumor 4,Tumor
1524,1525,Tumor 7,Tumor
2500,2501,Tumor 3,Tumor
2526,2527,Tumor 4,Tumor
2444,2445,Tumor 3,Tumor
2579,2580,Tumor 3,Tumor
2044,2045,Tumor 7,Tumor
846,847,Tumor 7,Tumor
2454,2455,Tumor 7,Tumor
2572,2573,Tumor 4,Tumor
2465,2466,Tumor 7,Tumor
2455,2456,Tumor 7,Tumor
2339,2340,Tumor 2 (Ki67 Proliferating),Tumor
221,222,Tumor 7,Tumor
32,33,Tumor 3,Tumor
1055,1056,Tumor 3,Tumor
885,886,Tumor 7,Tumor
718,719,Tumor 7,Tumor
662,663,Tumor 7,Tumor
685,686,Tumor 7,Tumor
684,685,Tumor 4,Tumor
612,613,Tumor 7,Tumor
1559,1560,Tumor 7,Tumor
1376,1377,Tumor 7,Tumor
1437,1438,Tumor 7,Tumor
2362,2363,Tumor 1,Tumor
2398,2399,Tumor 3,Tumor
2406,2407,Tumor 3,Tumor
2418,2419,Tumor 3,Tumor
2417,2418,Tumor 7,Tumor
175,176,Tumor 7,Tumor
320,321,Tumor 3,Tumor
761,762,Tumor 3,Tumor
731,732,Tumor 3,Tumor
2074,2075,Tumor 1,Tumor
2028,2029,Tumor 7,Tumor
2014,2015,Tumor 7,Tumor
845,846,Tumor 7,Tumor
856,857,Tumor 7,Tumor
779,780,Tumor 7,Tumor
743,744,Tumor 7,Tumor
1535,1536,Tumor 4,Tumor
1630,1631,Tumor 4,Tumor
1780,1781,Tumor 7,Tumor
1937,1938,Tumor 7,Tumor
1651,1652,Tumor 4,Tumor
1706,1707,Tumor 4,Tumor
1756,1757,Tumor 3,Tumor
1734,1735,Tumor 4,Tumor
1723,1724,Tumor 7,Tumor
1680,1681,Tumor 7,Tumor
1693,1694,Tumor 7,Tumor
1749,1750,Tumor 7,Tumor
1664,1665,Tumor 7,Tumor
1977,1978,Tumor 3,Tumor
2024,2025,Tumor 7,Tumor
2071,2072,Tumor 7,Tumor
2038,2039,Tumor 2 (Ki67 Proliferating),Tumor
2243,2244,Tumor 7,Tumor
2300,2301,Tumor 7,Tumor
2320,2321,Tumor 2 (Ki67 Proliferating),Tumor
161,162,Tumor 7,Tumor
322,323,Tumor 7,Tumor
869,870,Tumor 3,Tumor
832,833,Tumor 3,Tumor
207,208,Tumor 4,Tumor
1142,1143,Tumor 7,Tumor
1520,1521,Tumor 7,Tumor
1591,1592,Tumor 3,Tumor
1703,1704,Tumor 4,Tumor
1553,1554,Tumor 4,Tumor
1566,1567,Tumor 4,Tumor
952,953,Tumor 7,Tumor
1131,1132,Tumor 1,Tumor
764,765,Tumor 1,Tumor
686,687,Tumor 7,Tumor
744,745,Tumor 7,Tumor
780,781,Tumor 7,Tumor
2588,2589,Tumor 2 (Ki67 Proliferating),Tumor
2043,2044,Tumor 2 (Ki67 Proliferating),Tumor
2002,2003,Tumor 4,Tumor
2005,2006,Tumor 4,Tumor
2031,2032,Tumor 3,Tumor
2118,2119,Tumor 7,Tumor
2092,2093,Tumor 3,Tumor
2000,2001,Tumor 3,Tumor
1964,1965,Tumor 2 (Ki67 Proliferating),Tumor
1876,1877,Tumor 7,Tumor
1917,1918,Tumor 2 (Ki67 Proliferating),Tumor
1852,1853,Tumor 1,Tumor
1107,1108,Tumor 3,Tumor
967,968,Tumor 7,Tumor
1027,1028,Tumor 7,Tumor
1005,1006,Tumor 7,Tumor
983,984,Tumor 7,Tumor
956,957,Tumor 7,Tumor
823,824,Tumor 2 (Ki67 Proliferating),Tumor
813,814,Tumor 3,Tumor
1091,1092,Tumor 4,Tumor
1161,1162,Tumor 7,Tumor
1240,1241,Tumor 7,Tumor
1330,1331,Tumor 1,Tumor
1174,1175,Tumor 1,Tumor
1138,1139,Tumor 7,Tumor
1226,1227,Tumor 7,Tumor
1314,1315,Tumor 3,Tumor
1337,1338,Tumor 7,Tumor
1584,1585,Tumor 7,Tumor
1528,1529,Tumor 7,Tumor
1827,1828,Tumor 3,Tumor
1774,1775,Tumor 3,Tumor
1865,1866,Tumor 7,Tumor
1909,1910,Tumor 7,Tumor
1859,1860,Tumor 4,Tumor
1736,1737,Tumor 5,Tumor
2367,2368,Tumor 1,Tumor
2360,2361,Tumor 3,Tumor
2172,2173,Tumor 3,Tumor
2389,2390,Tumor 7,Tumor
2374,2375,Tumor 7,Tumor
1978,1979,Tumor 7,Tumor
2012,2013,Tumor 4,Tumor
2151,2152,Tumor 3,Tumor
2504,2505,Tumor 3,Tumor
2391,2392,Tumor 7,Tumor
183,184,Tumor 3,Tumor
429,430,Tumor 3,Tumor
414,415,Tumor 7,Tumor
489,490,Tumor 2 (Ki67 Proliferating),Tumor
428,429,Tumor 7,Tumor
269,270,Tumor 4,Tumor
373,374,Tumor 7,Tumor
715,716,Tumor 3,Tumor
664,665,Tumor 4,Tumor
747,748,Tumor 7,Tumor
785,786,Tumor 2 (Ki67 Proliferating),Tumor
448,449,Tumor 2 (Ki67 Proliferating),Tumor
506,507,Tumor 7,Tumor
646,647,Tumor 2 (Ki67 Proliferating),Tumor
695,696,Tumor 3,Tumor
827,828,Tumor 7,Tumor
1996,1997,Tumor 7,Tumor
1992,1993,Tumor 7,Tumor
1950,1951,Tumor 7,Tumor
1983,1984,Tumor 7,Tumor
1881,1882,Tumor 7,Tumor
1956,1957,Tumor 7,Tumor
1963,1964,Tumor 7,Tumor
2607,2608,Tumor 4,Tumor
2608,2609,Tumor 4,Tumor
2602,2603,Tumor 4,Tumor
1507,1508,Tumor 7,Tumor
1476,1477,Tumor 3,Tumor
1704,1705,Tumor 4,Tumor
1817,1818,Tumor 7,Tumor
1735,1736,Tumor 4,Tumor
1717,1718,Tumor 7,Tumor
1491,1492,Tumor 7,Tumor
1516,1517,Tumor 3,Tumor
1614,1615,Tumor 4,Tumor
1610,1611,Tumor 4,Tumor
1674,1675,Tumor 1,Tumor
1811,1812,Tumor 3,Tumor
1851,1852,Tumor 1,Tumor
1824,1825,Tumor 3,Tumor
1842,1843,Tumor 7,Tumor
1795,1796,Tumor 4,Tumor
1801,1802,Tumor 3,Tumor
1782,1783,Tumor 3,Tumor
1753,1754,Tumor 3,Tumor
1754,1755,Tumor 3,Tumor
1778,1779,Tumor 2 (Ki67 Proliferating),Tumor
1926,1927,Tumor 7,Tumor
1984,1985,Tumor 7,Tumor
1726,1727,Tumor 7,Tumor
1799,1800,Tumor 7,Tumor
1712,1713,Tumor 7,Tumor
1766,1767,Tumor 7,Tumor
1790,1791,Tumor 7,Tumor
2009,2010,Tumor 3,Tumor
1990,1991,Tumor 7,Tumor
1934,1935,Tumor 4,Tumor
1988,1989,Tumor 7,Tumor
2019,2020,Tumor 7,Tumor
2016,2017,Tumor 7,Tumor
2032,2033,Tumor 7,Tumor
1973,1974,Tumor 4,Tumor
2042,2043,Tumor 2 (Ki67 Proliferating),Tumor
2096,2097,Tumor 2 (Ki67 Proliferating),Tumor
2106,2107,Tumor 4,Tumor
2020,2021,Tumor 3,Tumor
2013,2014,Tumor 7,Tumor
2026,2027,Tumor 7,Tumor
2010,2011,Tumor 7,Tumor
2058,2059,Tumor 7,Tumor
2292,2293,Tumor 7,Tumor
2097,2098,Tumor 7,Tumor
2233,2234,Tumor 7,Tumor
2176,2177,Tumor 1,Tumor
2279,2280,Tumor 7,Tumor
2414,2415,Tumor 7,Tumor
2447,2448,Tumor 7,Tumor
2567,2568,Tumor 7,Tumor
2432,2433,Tumor 7,Tumor
2477,2478,Tumor 7,Tumor
2453,2454,Tumor 7,Tumor
2441,2442,Tumor 7,Tumor
2314,2315,Tumor 7,Tumor
2264,2265,Tumor 7,Tumor
1760,1761,Tumor 4,Tumor
1707,1708,Tumor 7,Tumor
195,196,Tumor 7,Tumor
282,283,Tumor 7,Tumor
167,168,Tumor 2 (Ki67 Proliferating),Tumor
125,126,Tumor 7,Tumor
171,172,Tumor 2 (Ki67 Proliferating),Tumor
95,96,Tumor 7,Tumor
442,443,Tumor 2 (Ki67 Proliferating),Tumor
363,364,Tumor 3,Tumor
399,400,Tumor 7,Tumor
461,462,Tumor 7,Tumor
307,308,Tumor 2 (Ki67 Proliferating),Tumor
284,285,Tumor 7,Tumor
88,89,Tumor 7,Tumor
804,805,Tumor 3,Tumor
279,280,Tumor 2 (Ki67 Proliferating),Tumor
285,286,Tumor 3,Tumor
6,7,Tumor 1,Tumor
771,772,Tumor 2 (Ki67 Proliferating),Tumor
857,858,Tumor 3,Tumor
850,851,Tumor 2 (Ki67 Proliferating),Tumor
77,78,Tumor 3,Tumor
59,60,Tumor 7,Tumor
94,95,Tumor 7,Tumor
101,102,Tumor 7,Tumor
74,75,Tumor 7,Tumor
87,88,Tumor 2 (Ki67 Proliferating),Tumor
110,111,Tumor 2 (Ki67 Proliferating),Tumor
1472,1473,Tumor 3,Tumor
1114,1115,Tumor 7,Tumor
1090,1091,Tumor 7,Tumor
1117,1118,Tumor 7,Tumor
1788,1789,Tumor 7,Tumor
1740,1741,Tumor 4,Tumor
936,937,Tumor 7,Tumor
906,907,Tumor 7,Tumor
984,985,Tumor 1,Tumor
935,936,Tumor 7,Tumor
973,974,Tumor 7,Tumor
877,878,Tumor 7,Tumor
1102,1103,Tumor 7,Tumor
1103,1104,Tumor 7,Tumor
1130,1131,Tumor 7,Tumor
1035,1036,Tumor 7,Tumor
1006,1007,Tumor 7,Tumor
1066,1067,Tumor 7,Tumor
745,746,Tumor 7,Tumor
755,756,Tumor 1,Tumor
796,797,Tumor 7,Tumor
775,776,Tumor 3,Tumor
689,690,Tumor 7,Tumor
648,649,Tumor 3,Tumor
645,646,Tumor 7,Tumor
667,668,Tumor 7,Tumor
719,720,Tumor 3,Tumor
748,749,Tumor 7,Tumor
700,701,Tumor 7,Tumor
711,712,Tumor 7,Tumor
710,711,Tumor 7,Tumor
651,652,Tumor 7,Tumor
826,827,Tumor 7,Tumor
946,947,Tumor 7,Tumor
903,904,Tumor 7,Tumor
763,764,Tumor 7,Tumor
830,831,Tumor 7,Tumor
878,879,Tumor 7,Tumor
