,CELL_ID,CELL_TYPE,CELL_CLASS
193,194,Tumor 1,Tumor
497,498,Tumor 1,Tumor
16,17,Tumor 7,Tumor
164,165,Tumor 1,Tumor
91,92,Tumor 7,Tumor
46,47,Tumor 7,Tumor
201,202,Tumor 1,Tumor
3,4,Tumor 2 (Ki67 Proliferating),Tumor
2,3,Tumor 1,Tumor
1,2,Tumor 4,Tumor
28,29,Tumor 1,Tumor
49,50,Tumor 7,Tumor
200,201,Tumor 7,Tumor
96,97,Tumor 7,Tumor
78,79,Tumor 6 / DC,Tumor
105,106,Tumor 4,Tumor
79,80,Tumor 7,Tumor
81,82,Tumor 1,Tumor
109,110,Tumor 4,Tumor
148,149,Tumor 4,Tumor
123,124,Tumor 4,Tumor
1033,1034,Tumor 3,Tumor
107,108,Tumor 7,Tumor
577,578,Tumor 1,Tumor
618,619,Tumor 7,Tumor
600,601,Tumor 7,Tumor
640,641,Tumor 4,Tumor
573,574,Tumor 7,Tumor
409,410,Tumor 4,Tumor
235,236,Tumor 7,Tumor
220,221,Tumor 7,Tumor
179,180,Tumor 7,Tumor
178,179,Tumor 7,Tumor
4,5,Tumor 2 (Ki67 Proliferating),Tumor
0,1,Tumor 2 (Ki67 Proliferating),Tumor
176,177,Tumor 7,Tumor
265,266,Tumor 7,Tumor
237,238,Tumor 4,Tumor
30,31,Tumor 7,Tumor
13,14,Tumor 7,Tumor
22,23,Tumor 7,Tumor
33,34,Tumor 7,Tumor
70,71,Tumor 7,Tumor
84,85,Tumor 7,Tumor
87,88,Tumor 7,Tumor
55,56,Tumor 4,Tumor
63,64,Tumor 7,Tumor
75,76,Tumor 7,Tumor
76,77,Tumor 4,Tumor
73,74,Tumor 1,Tumor
180,181,Tumor 4,Tumor
205,206,Tumor 7,Tumor
113,114,Tumor 7,Tumor
103,104,Tumor 7,Tumor
227,228,Tumor 4,Tumor
115,116,Tumor 3,Tumor
140,141,Tumor 7,Tumor
116,117,Tumor 4,Tumor
118,119,Tumor 3,Tumor
172,173,Tumor 4,Tumor
189,190,Tumor 4,Tumor
142,143,Tumor 4,Tumor
134,135,Tumor 5,Tumor
144,145,Tumor 4,Tumor
234,235,Tumor 3,Tumor
253,254,Tumor 7,Tumor
318,319,Tumor 4,Tumor
278,279,Tumor 4,Tumor
313,314,Tumor 1,Tumor
419,420,Tumor 4,Tumor
397,398,Tumor 4,Tumor
438,439,Tumor 4,Tumor
366,367,Tumor 4,Tumor
394,395,Tumor 4,Tumor
375,376,Tumor 4,Tumor
669,670,Tumor 7,Tumor
701,702,Tumor 7,Tumor
1036,1037,Tumor 3,Tumor
424,425,Tumor 7,Tumor
353,354,Tumor 4,Tumor
402,403,Tumor 4,Tumor
653,654,Tumor 4,Tumor
707,708,Tumor 4,Tumor
670,671,Tumor 7,Tumor
1047,1048,Tumor 4,Tumor
1044,1045,Tumor 3,Tumor
557,558,Tumor 4,Tumor
583,584,Tumor 6 / DC,Tumor
531,532,Tumor 7,Tumor
576,577,Tumor 1,Tumor
494,495,Tumor 6 / DC,Tumor
430,431,Tumor 3,Tumor
860,861,Tumor 3,Tumor
631,632,Tumor 7,Tumor
606,607,Tumor 4,Tumor
257,258,Tumor 7,Tumor
7,8,Tumor 2 (Ki67 Proliferating),Tumor
300,301,Tumor 4,Tumor
66,67,Tumor 7,Tumor
44,45,Tumor 7,Tumor
267,268,Tumor 7,Tumor
266,267,Tumor 4,Tumor
274,275,Tumor 4,Tumor
258,259,Tumor 4,Tumor
275,276,Tumor 4,Tumor
130,131,Tumor 7,Tumor
240,241,Tumor 4,Tumor
15,16,Tumor 4,Tumor
12,13,Tumor 6 / DC,Tumor
36,37,Tumor 6 / DC,Tumor
74,75,Tumor 4,Tumor
86,87,Tumor 4,Tumor
117,118,Tumor 4,Tumor
8,9,Tumor 7,Tumor
5,6,Tumor 2 (Ki67 Proliferating),Tumor
17,18,Tumor 3,Tumor
50,51,Tumor 4,Tumor
72,73,Tumor 1,Tumor
173,174,Tumor 4,Tumor
137,138,Tumor 7,Tumor
145,146,Tumor 3,Tumor
136,137,Tumor 4,Tumor
156,157,Tumor 4,Tumor
126,127,Tumor 7,Tumor
129,130,Tumor 7,Tumor
159,160,Tumor 7,Tumor
133,134,Tumor 7,Tumor
199,200,Tumor 4,Tumor
191,192,Tumor 4,Tumor
207,208,Tumor 4,Tumor
143,144,Tumor 4,Tumor
155,156,Tumor 4,Tumor
125,126,Tumor 4,Tumor
128,129,Tumor 7,Tumor
331,332,Tumor 4,Tumor
296,297,Tumor 4,Tumor
324,325,Tumor 4,Tumor
315,316,Tumor 4,Tumor
362,363,Tumor 4,Tumor
335,336,Tumor 3,Tumor
100,101,Tumor 3,Tumor
93,94,Tumor 7,Tumor
90,91,Tumor 1,Tumor
119,120,Tumor 4,Tumor
122,123,Tumor 3,Tumor
89,90,Tumor 3,Tumor
106,107,Tumor 4,Tumor
177,178,Tumor 7,Tumor
170,171,Tumor 4,Tumor
153,154,Tumor 7,Tumor
174,175,Tumor 2 (Ki67 Proliferating),Tumor
185,186,Tumor 4,Tumor
228,229,Tumor 6 / DC,Tumor
197,198,Tumor 4,Tumor
192,193,Tumor 3,Tumor
290,291,Tumor 4,Tumor
282,283,Tumor 4,Tumor
327,328,Tumor 4,Tumor
390,391,Tumor 4,Tumor
352,353,Tumor 4,Tumor
309,310,Tumor 4,Tumor
321,322,Tumor 4,Tumor
302,303,Tumor 4,Tumor
285,286,Tumor 4,Tumor
962,963,Tumor 1,Tumor
1006,1007,Tumor 1,Tumor
966,967,Tumor 3,Tumor
991,992,Tumor 3,Tumor
729,730,Tumor 6 / DC,Tumor
746,747,Tumor 7,Tumor
853,854,Tumor 7,Tumor
720,721,Tumor 1,Tumor
961,962,Tumor 7,Tumor
376,377,Tumor 7,Tumor
414,415,Tumor 4,Tumor
