,CELL_ID,CELL_TYPE,CELL_CLASS
6,7,Tumor 4,Tumor
896,897,Tumor 1,Tumor
995,996,Tumor 7,Tumor
967,968,Tumor 7,Tumor
1086,1087,Tumor 7,Tumor
1077,1078,Tumor 7,Tumor
1108,1109,Tumor 1,Tumor
536,537,Tumor 7,Tumor
434,435,Tumor 7,Tumor
467,468,Tumor 7,Tumor
24,25,Tumor 2 (Ki67 Proliferating),Tumor
16,17,Tumor 2 (Ki67 Proliferating),Tumor
464,465,Tumor 7,Tumor
435,436,Tumor 7,Tumor
775,776,Tumor 7,Tumor
385,386,Tumor 7,Tumor
1412,1413,Tumor 7,Tumor
1188,1189,Tumor 7,Tumor
1410,1411,Tumor 7,Tumor
1421,1422,Tumor 6 / DC,Tumor
607,608,Tumor 1,Tumor
982,983,Tumor 1,Tumor
1050,1051,Tumor 7,Tumor
1023,1024,Tumor 1,Tumor
946,947,Tumor 1,Tumor
997,998,Tumor 1,Tumor
991,992,Tumor 7,Tumor
972,973,Tumor 7,Tumor
983,984,Tumor 7,Tumor
968,969,Tumor 7,Tumor
1051,1052,Tumor 7,Tumor
1002,1003,Tumor 7,Tumor
1037,1038,Tumor 1,Tumor
912,913,Tumor 7,Tumor
942,943,Tumor 7,Tumor
929,930,Tumor 7,Tumor
819,820,Tumor 7,Tumor
848,849,Tumor 7,Tumor
793,794,Tumor 7,Tumor
838,839,Tumor 7,Tumor
1319,1320,Tumor 7,Tumor
1343,1344,Tumor 7,Tumor
1146,1147,Tumor 7,Tumor
1149,1150,Tumor 7,Tumor
1098,1099,Tumor 7,Tumor
155,156,Tumor 1,Tumor
180,181,Tumor 7,Tumor
106,107,Tumor 1,Tumor
1,2,Tumor 3,Tumor
911,912,Tumor 2 (Ki67 Proliferating),Tumor
944,945,Tumor 2 (Ki67 Proliferating),Tumor
695,696,Tumor 7,Tumor
608,609,Tumor 7,Tumor
419,420,Tumor 7,Tumor
496,497,Tumor 7,Tumor
1033,1034,Tumor 7,Tumor
1244,1245,Tumor 7,Tumor
1196,1197,Tumor 7,Tumor
1175,1176,Tumor 7,Tumor
1233,1234,Tumor 7,Tumor
1226,1227,Tumor 7,Tumor
1419,1420,Tumor 4,Tumor
1413,1414,Tumor 7,Tumor
1414,1415,Tumor 7,Tumor
1422,1423,Tumor 6 / DC,Tumor
1400,1401,Tumor 7,Tumor
1408,1409,Tumor 7,Tumor
719,720,Tumor 1,Tumor
937,938,Tumor 1,Tumor
920,921,Tumor 7,Tumor
883,884,Tumor 7,Tumor
1080,1081,Tumor 7,Tumor
1052,1053,Tumor 7,Tumor
1026,1027,Tumor 7,Tumor
1169,1170,Tumor 7,Tumor
1180,1181,Tumor 7,Tumor
1216,1217,Tumor 7,Tumor
1197,1198,Tumor 7,Tumor
1167,1168,Tumor 1,Tumor
1210,1211,Tumor 7,Tumor
1129,1130,Tumor 1,Tumor
1170,1171,Tumor 7,Tumor
1194,1195,Tumor 7,Tumor
1205,1206,Tumor 7,Tumor
126,127,Tumor 1,Tumor
116,117,Tumor 1,Tumor
135,136,Tumor 7,Tumor
178,179,Tumor 7,Tumor
149,150,Tumor 7,Tumor
19,20,Tumor 2 (Ki67 Proliferating),Tumor
11,12,Tumor 2 (Ki67 Proliferating),Tumor
103,104,Tumor 2 (Ki67 Proliferating),Tumor
58,59,Tumor 3,Tumor
963,964,Tumor 2 (Ki67 Proliferating),Tumor
965,966,Tumor 2 (Ki67 Proliferating),Tumor
21,22,Tumor 4,Tumor
8,9,Tumor 4,Tumor
284,285,Tumor 7,Tumor
325,326,Tumor 7,Tumor
331,332,Tumor 7,Tumor
129,130,Tumor 6 / DC,Tumor
351,352,Tumor 7,Tumor
191,192,Tumor 7,Tumor
140,141,Tumor 7,Tumor
175,176,Tumor 1,Tumor
479,480,Tumor 4,Tumor
520,521,Tumor 4,Tumor
468,469,Tumor 4,Tumor
743,744,Tumor 1,Tumor
680,681,Tumor 1,Tumor
748,749,Tumor 3,Tumor
415,416,Tumor 7,Tumor
384,385,Tumor 7,Tumor
398,399,Tumor 7,Tumor
422,423,Tumor 7,Tumor
1089,1090,Tumor 7,Tumor
792,793,Tumor 1,Tumor
935,936,Tumor 1,Tumor
941,942,Tumor 7,Tumor
1008,1009,Tumor 3,Tumor
1208,1209,Tumor 7,Tumor
1402,1403,Tumor 7,Tumor
1234,1235,Tumor 7,Tumor
1355,1356,Tumor 4,Tumor
1377,1378,Tumor 4,Tumor
1407,1408,Tumor 7,Tumor
947,948,Tumor 1,Tumor
842,843,Tumor 7,Tumor
849,850,Tumor 7,Tumor
636,637,Tumor 7,Tumor
714,715,Tumor 7,Tumor
816,817,Tumor 7,Tumor
771,772,Tumor 7,Tumor
739,740,Tumor 7,Tumor
966,967,Tumor 4,Tumor
874,875,Tumor 1,Tumor
782,783,Tumor 3,Tumor
1375,1376,Tumor 7,Tumor
1391,1392,Tumor 7,Tumor
1411,1412,Tumor 7,Tumor
1093,1094,Tumor 7,Tumor
1121,1122,Tumor 7,Tumor
1067,1068,Tumor 7,Tumor
1058,1059,Tumor 7,Tumor
1079,1080,Tumor 7,Tumor
1114,1115,Tumor 7,Tumor
1272,1273,Tumor 7,Tumor
1295,1296,Tumor 7,Tumor
1228,1229,Tumor 7,Tumor
1256,1257,Tumor 7,Tumor
