,CELL_ID,CELL_TYPE,CELL_CLASS
890,891,Tumor 4,Tumor
1517,1518,Tumor 1,Tumor
1584,1585,Tumor 4,Tumor
1518,1519,Tumor 7,Tumor
87,88,Tumor 1,Tumor
154,155,Tumor 1,Tumor
872,873,Tumor 4,Tumor
1585,1586,Tumor 1,Tumor
1555,1556,Tumor 7,Tumor
1554,1555,Tumor 1,Tumor
1330,1331,Tumor 1,Tumor
1404,1405,Tumor 1,Tumor
858,859,Tumor 1,Tumor
100,101,Tumor 1,Tumor
214,215,Tumor 7,Tumor
226,227,Tumor 1,Tumor
161,162,Tumor 1,Tumor
176,177,Tumor 1,Tumor
116,117,Tumor 1,Tumor
193,194,Tumor 1,Tumor
86,87,Tumor 1,Tumor
143,144,Tumor 4,Tumor
2530,2531,Tumor 1,Tumor
2165,2166,Tumor 3,Tumor
2637,2638,Tumor 4,Tumor
2676,2677,Tumor 4,Tumor
2647,2648,Tumor 3,Tumor
1637,1638,Tumor 2 (Ki67 Proliferating),Tumor
1604,1605,Tumor 3,Tumor
1599,1600,Tumor 1,Tumor
1610,1611,Tumor 3,Tumor
2249,2250,Tumor 1,Tumor
1848,1849,Tumor 1,Tumor
1868,1869,Tumor 7,Tumor
1791,1792,Tumor 1,Tumor
1583,1584,Tumor 6 / DC,Tumor
1530,1531,Tumor 3,Tumor
1496,1497,Tumor 3,Tumor
1523,1524,Tumor 4,Tumor
1488,1489,Tumor 4,Tumor
1455,1456,Tumor 3,Tumor
1574,1575,Tumor 3,Tumor
1472,1473,Tumor 1,Tumor
1444,1445,Tumor 1,Tumor
1046,1047,Tumor 4,Tumor
953,954,Tumor 6 / DC,Tumor
1865,1866,Tumor 3,Tumor
1733,1734,Tumor 3,Tumor
1712,1713,Tumor 2 (Ki67 Proliferating),Tumor
1794,1795,Tumor 7,Tumor
1677,1678,Tumor 3,Tumor
230,231,Tumor 1,Tumor
252,253,Tumor 7,Tumor
255,256,Tumor 1,Tumor
215,216,Tumor 1,Tumor
397,398,Tumor 4,Tumor
354,355,Tumor 4,Tumor
825,826,Tumor 7,Tumor
836,837,Tumor 1,Tumor
33,34,Tumor 4,Tumor
58,59,Tumor 4,Tumor
44,45,Tumor 4,Tumor
29,30,Tumor 4,Tumor
108,109,Tumor 2 (Ki67 Proliferating),Tumor
184,185,Tumor 4,Tumor
168,169,Tumor 2 (Ki67 Proliferating),Tumor
114,115,Tumor 4,Tumor
11,12,Tumor 4,Tumor
28,29,Tumor 3,Tumor
373,374,Tumor 1,Tumor
891,892,Tumor 3,Tumor
278,279,Tumor 2 (Ki67 Proliferating),Tumor
222,223,Tumor 2 (Ki67 Proliferating),Tumor
313,314,Tumor 4,Tumor
35,36,Tumor 4,Tumor
2143,2144,Tumor 4,Tumor
2590,2591,Tumor 4,Tumor
2335,2336,Tumor 4,Tumor
2127,2128,Tumor 2 (Ki67 Proliferating),Tumor
2098,2099,Tumor 3,Tumor
2082,2083,Tumor 7,Tumor
2550,2551,Tumor 3,Tumor
2479,2480,Tumor 4,Tumor
2437,2438,Tumor 7,Tumor
2380,2381,Tumor 2 (Ki67 Proliferating),Tumor
854,855,Tumor 4,Tumor
1701,1702,Tumor 3,Tumor
1566,1567,Tumor 2 (Ki67 Proliferating),Tumor
1398,1399,Tumor 4,Tumor
1376,1377,Tumor 6 / DC,Tumor
2503,2504,Tumor 1,Tumor
2510,2511,Tumor 2 (Ki67 Proliferating),Tumor
2274,2275,Tumor 1,Tumor
2266,2267,Tumor 2 (Ki67 Proliferating),Tumor
2355,2356,Tumor 3,Tumor
2118,2119,Tumor 3,Tumor
2142,2143,Tumor 3,Tumor
2140,2141,Tumor 3,Tumor
2199,2200,Tumor 3,Tumor
1708,1709,Tumor 7,Tumor
1908,1909,Tumor 1,Tumor
1793,1794,Tumor 1,Tumor
1854,1855,Tumor 3,Tumor
1780,1781,Tumor 7,Tumor
1750,1751,Tumor 7,Tumor
1683,1684,Tumor 1,Tumor
1640,1641,Tumor 1,Tumor
1700,1701,Tumor 7,Tumor
1648,1649,Tumor 7,Tumor
1697,1698,Tumor 3,Tumor
2211,2212,Tumor 3,Tumor
1752,1753,Tumor 2 (Ki67 Proliferating),Tumor
1754,1755,Tumor 2 (Ki67 Proliferating),Tumor
2123,2124,Tumor 3,Tumor
2206,2207,Tumor 3,Tumor
1876,1877,Tumor 2 (Ki67 Proliferating),Tumor
1932,1933,Tumor 3,Tumor
1909,1910,Tumor 6 / DC,Tumor
1900,1901,Tumor 7,Tumor
1998,1999,Tumor 2 (Ki67 Proliferating),Tumor
1953,1954,Tumor 3,Tumor
2201,2202,Tumor 1,Tumor
2151,2152,Tumor 7,Tumor
2097,2098,Tumor 1,Tumor
2126,2127,Tumor 1,Tumor
2148,2149,Tumor 7,Tumor
2170,2171,Tumor 1,Tumor
1804,1805,Tumor 3,Tumor
1824,1825,Tumor 3,Tumor
1492,1493,Tumor 3,Tumor
1497,1498,Tumor 3,Tumor
1508,1509,Tumor 2 (Ki67 Proliferating),Tumor
1451,1452,Tumor 4,Tumor
923,924,Tumor 7,Tumor
910,911,Tumor 2 (Ki67 Proliferating),Tumor
898,899,Tumor 2 (Ki67 Proliferating),Tumor
1125,1126,Tumor 7,Tumor
1107,1108,Tumor 2 (Ki67 Proliferating),Tumor
946,947,Tumor 7,Tumor
974,975,Tumor 1,Tumor
1015,1016,Tumor 4,Tumor
1367,1368,Tumor 1,Tumor
1016,1017,Tumor 7,Tumor
1007,1008,Tumor 7,Tumor
1072,1073,Tumor 7,Tumor
1881,1882,Tumor 3,Tumor
1891,1892,Tumor 4,Tumor
1928,1929,Tumor 3,Tumor
1809,1810,Tumor 2 (Ki67 Proliferating),Tumor
