,CELL_ID,CELL_TYPE,CELL_CLASS
783,784,Tumor 4,Tumor
786,787,Tumor 4,Tumor
947,948,Tumor 3,Tumor
85,86,Tumor 4,Tumor
1112,1113,Tumor 4,Tumor
839,840,Tumor 4,Tumor
1013,1014,Tumor 3,Tumor
1064,1065,Tumor 6 / DC,Tumor
744,745,Tumor 4,Tumor
754,755,Tumor 4,Tumor
1085,1086,Tumor 3,Tumor
1084,1085,Tumor 6 / DC,Tumor
1050,1051,Tumor 1,Tumor
1031,1032,Tumor 6 / DC,Tumor
820,821,Tumor 4,Tumor
886,887,Tumor 7,Tumor
887,888,Tumor 7,Tumor
853,854,Tumor 6 / DC,Tumor
837,838,Tumor 6 / DC,Tumor
875,876,Tumor 6 / DC,Tumor
867,868,Tumor 7,Tumor
225,226,Tumor 2 (Ki67 Proliferating),Tumor
214,215,Tumor 4,Tumor
779,780,Tumor 4,Tumor
1073,1074,Tumor 1,Tumor
1067,1068,Tumor 1,Tumor
602,603,Tumor 4,Tumor
1114,1115,Tumor 4,Tumor
817,818,Tumor 6 / DC,Tumor
830,831,Tumor 7,Tumor
804,805,Tumor 7,Tumor
894,895,Tumor 2 (Ki67 Proliferating),Tumor
890,891,Tumor 6 / DC,Tumor
811,812,Tumor 3,Tumor
821,822,Tumor 6 / DC,Tumor
812,813,Tumor 2 (Ki67 Proliferating),Tumor
801,802,Tumor 6 / DC,Tumor
774,775,Tumor 4,Tumor
682,683,Tumor 4,Tumor
582,583,Tumor 4,Tumor
567,568,Tumor 4,Tumor
559,560,Tumor 4,Tumor
564,565,Tumor 4,Tumor
533,534,Tumor 2 (Ki67 Proliferating),Tumor
184,185,Tumor 4,Tumor
183,184,Tumor 4,Tumor
7,8,Tumor 4,Tumor
12,13,Tumor 4,Tumor
469,470,Tumor 4,Tumor
623,624,Tumor 4,Tumor
799,800,Tumor 6 / DC,Tumor
793,794,Tumor 6 / DC,Tumor
1076,1077,Tumor 7,Tumor
1105,1106,Tumor 6 / DC,Tumor
1111,1112,Tumor 4,Tumor
1101,1102,Tumor 2 (Ki67 Proliferating),Tumor
1103,1104,Tumor 3,Tumor
1081,1082,Tumor 1,Tumor
1092,1093,Tumor 1,Tumor
795,796,Tumor 7,Tumor
805,806,Tumor 6 / DC,Tumor
803,804,Tumor 6 / DC,Tumor
922,923,Tumor 7,Tumor
912,913,Tumor 7,Tumor
901,902,Tumor 6 / DC,Tumor
814,815,Tumor 6 / DC,Tumor
62,63,Tumor 4,Tumor
614,615,Tumor 4,Tumor
635,636,Tumor 4,Tumor
417,418,Tumor 4,Tumor
164,165,Tumor 4,Tumor
216,217,Tumor 4,Tumor
56,57,Tumor 4,Tumor
250,251,Tumor 4,Tumor
223,224,Tumor 4,Tumor
116,117,Tumor 4,Tumor
10,11,Tumor 4,Tumor
136,137,Tumor 4,Tumor
133,134,Tumor 4,Tumor
119,120,Tumor 4,Tumor
954,955,Tumor 4,Tumor
345,346,Tumor 4,Tumor
648,649,Tumor 4,Tumor
816,817,Tumor 6 / DC,Tumor
822,823,Tumor 7,Tumor
810,811,Tumor 6 / DC,Tumor
808,809,Tumor 6 / DC,Tumor
836,837,Tumor 6 / DC,Tumor
591,592,Tumor 2 (Ki67 Proliferating),Tumor
624,625,Tumor 6 / DC,Tumor
653,654,Tumor 4,Tumor
663,664,Tumor 2 (Ki67 Proliferating),Tumor
726,727,Tumor 4,Tumor
1056,1057,Tumor 1,Tumor
1072,1073,Tumor 7,Tumor
870,871,Tumor 6 / DC,Tumor
797,798,Tumor 6 / DC,Tumor
800,801,Tumor 6 / DC,Tumor
788,789,Tumor 7,Tumor
794,795,Tumor 6 / DC,Tumor
802,803,Tumor 6 / DC,Tumor
835,836,Tumor 6 / DC,Tumor
813,814,Tumor 7,Tumor
819,820,Tumor 6 / DC,Tumor
827,828,Tumor 6 / DC,Tumor
844,845,Tumor 6 / DC,Tumor
823,824,Tumor 2 (Ki67 Proliferating),Tumor
850,851,Tumor 1,Tumor
36,37,Tumor 4,Tumor
22,23,Tumor 4,Tumor
146,147,Tumor 4,Tumor
1027,1028,Tumor 2 (Ki67 Proliferating),Tumor
1009,1010,Tumor 2 (Ki67 Proliferating),Tumor
1043,1044,Tumor 7,Tumor
1053,1054,Tumor 7,Tumor
1041,1042,Tumor 2 (Ki67 Proliferating),Tumor
321,322,Tumor 4,Tumor
549,550,Tumor 4,Tumor
367,368,Tumor 4,Tumor
49,50,Tumor 4,Tumor
398,399,Tumor 4,Tumor
377,378,Tumor 4,Tumor
0,1,Tumor 4,Tumor
258,259,Tumor 4,Tumor
260,261,Tumor 4,Tumor
211,212,Tumor 4,Tumor
150,151,Tumor 4,Tumor
908,909,Tumor 4,Tumor
952,953,Tumor 4,Tumor
543,544,Tumor 4,Tumor
584,585,Tumor 2 (Ki67 Proliferating),Tumor
649,650,Tumor 6 / DC,Tumor
593,594,Tumor 2 (Ki67 Proliferating),Tumor
601,602,Tumor 4,Tumor
626,627,Tumor 1,Tumor
618,619,Tumor 4,Tumor
630,631,Tumor 2 (Ki67 Proliferating),Tumor
1044,1045,Tumor 3,Tumor
1026,1027,Tumor 7,Tumor
1037,1038,Tumor 4,Tumor
1042,1043,Tumor 3,Tumor
1061,1062,Tumor 1,Tumor
1058,1059,Tumor 1,Tumor
916,917,Tumor 6 / DC,Tumor
1109,1110,Tumor 4,Tumor
826,827,Tumor 1,Tumor
818,819,Tumor 6 / DC,Tumor
829,830,Tumor 1,Tumor
815,816,Tumor 6 / DC,Tumor
806,807,Tumor 6 / DC,Tumor
106,107,Tumor 4,Tumor
309,310,Tumor 4,Tumor
271,272,Tumor 4,Tumor
971,972,Tumor 6 / DC,Tumor
974,975,Tumor 3,Tumor
956,957,Tumor 7,Tumor
1006,1007,Tumor 2 (Ki67 Proliferating),Tumor
1000,1001,Tumor 2 (Ki67 Proliferating),Tumor
992,993,Tumor 3,Tumor
944,945,Tumor 1,Tumor
930,931,Tumor 7,Tumor
939,940,Tumor 6 / DC,Tumor
973,974,Tumor 1,Tumor
964,965,Tumor 6 / DC,Tumor
411,412,Tumor 4,Tumor
375,376,Tumor 4,Tumor
489,490,Tumor 4,Tumor
294,295,Tumor 4,Tumor
324,325,Tumor 4,Tumor
339,340,Tumor 4,Tumor
514,515,Tumor 4,Tumor
79,80,Tumor 4,Tumor
102,103,Tumor 4,Tumor
29,30,Tumor 4,Tumor
3,4,Tumor 4,Tumor
583,584,Tumor 1,Tumor
568,569,Tumor 4,Tumor
597,598,Tumor 7,Tumor
592,593,Tumor 2 (Ki67 Proliferating),Tumor
605,606,Tumor 7,Tumor
841,842,Tumor 7,Tumor
832,833,Tumor 6 / DC,Tumor
849,850,Tumor 6 / DC,Tumor
838,839,Tumor 6 / DC,Tumor
845,846,Tumor 1,Tumor
831,832,Tumor 7,Tumor
938,939,Tumor 6 / DC,Tumor
1104,1105,Tumor 1,Tumor
1089,1090,Tumor 2 (Ki67 Proliferating),Tumor
1107,1108,Tumor 3,Tumor
157,158,Tumor 2 (Ki67 Proliferating),Tumor
204,205,Tumor 4,Tumor
162,163,Tumor 4,Tumor
135,136,Tumor 4,Tumor
346,347,Tumor 4,Tumor
320,321,Tumor 4,Tumor
361,362,Tumor 4,Tumor
190,191,Tumor 4,Tumor
192,193,Tumor 4,Tumor
233,234,Tumor 4,Tumor
372,373,Tumor 4,Tumor
473,474,Tumor 4,Tumor
384,385,Tumor 4,Tumor
303,304,Tumor 4,Tumor
322,323,Tumor 4,Tumor
608,609,Tumor 4,Tumor
587,588,Tumor 4,Tumor
60,61,Tumor 4,Tumor
34,35,Tumor 4,Tumor
19,20,Tumor 4,Tumor
27,28,Tumor 4,Tumor
852,853,Tumor 6 / DC,Tumor
