,CELL_ID,CELL_TYPE,CELL_CLASS
1558,1559,Tumor 4,Tumor
748,749,Tumor 4,Tumor
688,689,Tumor 1,Tumor
653,654,Tumor 2 (Ki67 Proliferating),Tumor
696,697,Tumor 4,Tumor
726,727,Tumor 2 (Ki67 Proliferating),Tumor
635,636,Tumor 3,Tumor
589,590,Tumor 4,Tumor
854,855,Tumor 4,Tumor
1,2,Tumor 4,Tumor
1056,1057,Tumor 7,Tumor
1769,1770,Tumor 4,Tumor
1761,1762,Tumor 1,Tumor
782,783,Tumor 4,Tumor
638,639,Tumor 2 (Ki67 Proliferating),Tumor
968,969,Tumor 6 / DC,Tumor
1105,1106,Tumor 1,Tumor
897,898,Tumor 1,Tumor
801,802,Tumor 4,Tumor
1057,1058,Tumor 1,Tumor
1034,1035,Tumor 2 (Ki67 Proliferating),Tumor
1065,1066,Tumor 7,Tumor
1090,1091,Tumor 7,Tumor
1002,1003,Tumor 3,Tumor
899,900,Tumor 2 (Ki67 Proliferating),Tumor
863,864,Tumor 2 (Ki67 Proliferating),Tumor
901,902,Tumor 2 (Ki67 Proliferating),Tumor
956,957,Tumor 3,Tumor
919,920,Tumor 3,Tumor
1083,1084,Tumor 1,Tumor
1332,1333,Tumor 3,Tumor
1204,1205,Tumor 4,Tumor
1283,1284,Tumor 4,Tumor
794,795,Tumor 2 (Ki67 Proliferating),Tumor
749,750,Tumor 2 (Ki67 Proliferating),Tumor
818,819,Tumor 3,Tumor
780,781,Tumor 3,Tumor
1880,1881,Tumor 4,Tumor
1575,1576,Tumor 2 (Ki67 Proliferating),Tumor
1574,1575,Tumor 3,Tumor
1786,1787,Tumor 2 (Ki67 Proliferating),Tumor
570,571,Tumor 2 (Ki67 Proliferating),Tumor
526,527,Tumor 2 (Ki67 Proliferating),Tumor
496,497,Tumor 2 (Ki67 Proliferating),Tumor
14,15,Tumor 4,Tumor
178,179,Tumor 4,Tumor
981,982,Tumor 3,Tumor
814,815,Tumor 4,Tumor
238,239,Tumor 4,Tumor
350,351,Tumor 4,Tumor
371,372,Tumor 6 / DC,Tumor
352,353,Tumor 1,Tumor
327,328,Tumor 3,Tumor
328,329,Tumor 1,Tumor
1149,1150,Tumor 1,Tumor
1107,1108,Tumor 1,Tumor
1094,1095,Tumor 3,Tumor
71,72,Tumor 4,Tumor
48,49,Tumor 4,Tumor
1068,1069,Tumor 3,Tumor
1751,1752,Tumor 4,Tumor
1873,1874,Tumor 3,Tumor
1041,1042,Tumor 4,Tumor
275,276,Tumor 3,Tumor
367,368,Tumor 4,Tumor
717,718,Tumor 7,Tumor
806,807,Tumor 2 (Ki67 Proliferating),Tumor
693,694,Tumor 7,Tumor
691,692,Tumor 7,Tumor
1052,1053,Tumor 7,Tumor
882,883,Tumor 3,Tumor
915,916,Tumor 2 (Ki67 Proliferating),Tumor
905,906,Tumor 2 (Ki67 Proliferating),Tumor
870,871,Tumor 2 (Ki67 Proliferating),Tumor
993,994,Tumor 3,Tumor
1836,1837,Tumor 2 (Ki67 Proliferating),Tumor
1721,1722,Tumor 4,Tumor
1753,1754,Tumor 4,Tumor
1097,1098,Tumor 3,Tumor
1689,1690,Tumor 7,Tumor
1649,1650,Tumor 2 (Ki67 Proliferating),Tumor
1681,1682,Tumor 2 (Ki67 Proliferating),Tumor
1694,1695,Tumor 2 (Ki67 Proliferating),Tumor
1732,1733,Tumor 1,Tumor
1705,1706,Tumor 1,Tumor
1126,1127,Tumor 3,Tumor
1042,1043,Tumor 4,Tumor
1078,1079,Tumor 4,Tumor
1098,1099,Tumor 6 / DC,Tumor
1122,1123,Tumor 3,Tumor
1487,1488,Tumor 3,Tumor
1046,1047,Tumor 1,Tumor
617,618,Tumor 3,Tumor
1820,1821,Tumor 4,Tumor
895,896,Tumor 2 (Ki67 Proliferating),Tumor
524,525,Tumor 2 (Ki67 Proliferating),Tumor
549,550,Tumor 7,Tumor
473,474,Tumor 4,Tumor
1313,1314,Tumor 2 (Ki67 Proliferating),Tumor
1327,1328,Tumor 4,Tumor
1628,1629,Tumor 2 (Ki67 Proliferating),Tumor
1601,1602,Tumor 2 (Ki67 Proliferating),Tumor
1755,1756,Tumor 2 (Ki67 Proliferating),Tumor
1765,1766,Tumor 2 (Ki67 Proliferating),Tumor
1809,1810,Tumor 2 (Ki67 Proliferating),Tumor
1798,1799,Tumor 2 (Ki67 Proliferating),Tumor
594,595,Tumor 2 (Ki67 Proliferating),Tumor
611,612,Tumor 3,Tumor
156,157,Tumor 4,Tumor
151,152,Tumor 4,Tumor
279,280,Tumor 4,Tumor
369,370,Tumor 1,Tumor
587,588,Tumor 7,Tumor
718,719,Tumor 1,Tumor
684,685,Tumor 6 / DC,Tumor
692,693,Tumor 6 / DC,Tumor
760,761,Tumor 3,Tumor
320,321,Tumor 4,Tumor
269,270,Tumor 4,Tumor
434,435,Tumor 4,Tumor
407,408,Tumor 2 (Ki67 Proliferating),Tumor
540,541,Tumor 4,Tumor
213,214,Tumor 4,Tumor
200,201,Tumor 4,Tumor
285,286,Tumor 3,Tumor
308,309,Tumor 2 (Ki67 Proliferating),Tumor
334,335,Tumor 4,Tumor
323,324,Tumor 3,Tumor
232,233,Tumor 4,Tumor
88,89,Tumor 2 (Ki67 Proliferating),Tumor
13,14,Tumor 2 (Ki67 Proliferating),Tumor
30,31,Tumor 4,Tumor
1740,1741,Tumor 3,Tumor
1206,1207,Tumor 4,Tumor
1158,1159,Tumor 1,Tumor
1146,1147,Tumor 7,Tumor
1629,1630,Tumor 3,Tumor
1424,1425,Tumor 2 (Ki67 Proliferating),Tumor
270,271,Tumor 3,Tumor
397,398,Tumor 3,Tumor
405,406,Tumor 7,Tumor
377,378,Tumor 7,Tumor
432,433,Tumor 7,Tumor
474,475,Tumor 3,Tumor
494,495,Tumor 3,Tumor
949,950,Tumor 3,Tumor
916,917,Tumor 2 (Ki67 Proliferating),Tumor
941,942,Tumor 3,Tumor
973,974,Tumor 6 / DC,Tumor
790,791,Tumor 3,Tumor
857,858,Tumor 2 (Ki67 Proliferating),Tumor
844,845,Tumor 2 (Ki67 Proliferating),Tumor
755,756,Tumor 7,Tumor
735,736,Tumor 1,Tumor
869,870,Tumor 2 (Ki67 Proliferating),Tumor
889,890,Tumor 2 (Ki67 Proliferating),Tumor
896,897,Tumor 2 (Ki67 Proliferating),Tumor
840,841,Tumor 2 (Ki67 Proliferating),Tumor
834,835,Tumor 6 / DC,Tumor
880,881,Tumor 2 (Ki67 Proliferating),Tumor
375,376,Tumor 1,Tumor
358,359,Tumor 2 (Ki67 Proliferating),Tumor
641,642,Tumor 3,Tumor
991,992,Tumor 1,Tumor
911,912,Tumor 7,Tumor
921,922,Tumor 7,Tumor
832,833,Tumor 7,Tumor
841,842,Tumor 2 (Ki67 Proliferating),Tumor
871,872,Tumor 7,Tumor
712,713,Tumor 7,Tumor
695,696,Tumor 7,Tumor
625,626,Tumor 3,Tumor
668,669,Tumor 3,Tumor
642,643,Tumor 2 (Ki67 Proliferating),Tumor
673,674,Tumor 2 (Ki67 Proliferating),Tumor
1125,1126,Tumor 3,Tumor
