,CELL_ID,CELL_TYPE,CELL_CLASS
153,154,Tumor 1,Tumor
1693,1694,Tumor 4,Tumor
1801,1802,Tumor 2 (Ki67 Proliferating),Tumor
1810,1811,Tumor 4,Tumor
1803,1804,Tumor 3,Tumor
1797,1798,Tumor 3,Tumor
1799,1800,Tumor 4,Tumor
1804,1805,Tumor 4,Tumor
1781,1782,Tumor 6 / DC,Tumor
1749,1750,Tumor 4,Tumor
1746,1747,Tumor 1,Tumor
1802,1803,Tumor 6 / DC,Tumor
395,396,Tumor 6 / DC,Tumor
548,549,Tumor 1,Tumor
1681,1682,Tumor 1,Tumor
1703,1704,Tumor 1,Tumor
939,940,Tumor 1,Tumor
1039,1040,Tumor 1,Tumor
1766,1767,Tumor 4,Tumor
1750,1751,Tumor 1,Tumor
1762,1763,Tumor 1,Tumor
996,997,Tumor 3,Tumor
1794,1795,Tumor 7,Tumor
1816,1817,Tumor 4,Tumor
1815,1816,Tumor 4,Tumor
1813,1814,Tumor 4,Tumor
1780,1781,Tumor 6 / DC,Tumor
1793,1794,Tumor 6 / DC,Tumor
1795,1796,Tumor 7,Tumor
1798,1799,Tumor 7,Tumor
1788,1789,Tumor 7,Tumor
45,46,Tumor 7,Tumor
28,29,Tumor 4,Tumor
32,33,Tumor 1,Tumor
5,6,Tumor 2 (Ki67 Proliferating),Tumor
14,15,Tumor 4,Tumor
194,195,Tumor 1,Tumor
434,435,Tumor 4,Tumor
449,450,Tumor 6 / DC,Tumor
443,444,Tumor 6 / DC,Tumor
298,299,Tumor 4,Tumor
1537,1538,Tumor 1,Tumor
1370,1371,Tumor 7,Tumor
1369,1370,Tumor 3,Tumor
1691,1692,Tumor 1,Tumor
1654,1655,Tumor 7,Tumor
1641,1642,Tumor 1,Tumor
1674,1675,Tumor 1,Tumor
1669,1670,Tumor 6 / DC,Tumor
1611,1612,Tumor 1,Tumor
1701,1702,Tumor 1,Tumor
1632,1633,Tumor 1,Tumor
1587,1588,Tumor 1,Tumor
1684,1685,Tumor 6 / DC,Tumor
1724,1725,Tumor 7,Tumor
1748,1749,Tumor 4,Tumor
1663,1664,Tumor 6 / DC,Tumor
572,573,Tumor 1,Tumor
618,619,Tumor 1,Tumor
291,292,Tumor 2 (Ki67 Proliferating),Tumor
699,700,Tumor 4,Tumor
317,318,Tumor 2 (Ki67 Proliferating),Tumor
306,307,Tumor 3,Tumor
299,300,Tumor 7,Tumor
980,981,Tumor 7,Tumor
