,CELL_ID,CELL_TYPE,CELL_CLASS
1462,1463,Tumor 4,Tumor
1361,1362,Tumor 4,Tumor
94,95,Tumor 4,Tumor
848,849,Tumor 3,Tumor
569,570,Tumor 7,Tumor
1419,1420,Tumor 1,Tumor
1387,1388,Tumor 1,Tumor
1253,1254,Tumor 4,Tumor
666,667,Tumor 1,Tumor
139,140,Tumor 4,Tumor
304,305,Tumor 3,Tumor
246,247,Tumor 4,Tumor
196,197,Tumor 4,Tumor
1383,1384,Tumor 3,Tumor
1456,1457,Tumor 4,Tumor
1106,1107,Tumor 1,Tumor
1141,1142,Tumor 1,Tumor
1140,1141,Tumor 3,Tumor
576,577,Tumor 1,Tumor
577,578,Tumor 7,Tumor
1405,1406,Tumor 1,Tumor
1421,1422,Tumor 3,Tumor
1189,1190,Tumor 7,Tumor
1225,1226,Tumor 1,Tumor
1179,1180,Tumor 1,Tumor
171,172,Tumor 4,Tumor
219,220,Tumor 4,Tumor
441,442,Tumor 4,Tumor
242,243,Tumor 4,Tumor
174,175,Tumor 4,Tumor
144,145,Tumor 4,Tumor
57,58,Tumor 4,Tumor
370,371,Tumor 4,Tumor
356,357,Tumor 7,Tumor
352,353,Tumor 4,Tumor
365,366,Tumor 4,Tumor
307,308,Tumor 4,Tumor
284,285,Tumor 4,Tumor
248,249,Tumor 4,Tumor
383,384,Tumor 4,Tumor
482,483,Tumor 4,Tumor
1355,1356,Tumor 3,Tumor
1343,1344,Tumor 3,Tumor
1340,1341,Tumor 3,Tumor
1121,1122,Tumor 4,Tumor
1188,1189,Tumor 4,Tumor
1198,1199,Tumor 4,Tumor
1342,1343,Tumor 4,Tumor
1367,1368,Tumor 4,Tumor
957,958,Tumor 4,Tumor
876,877,Tumor 4,Tumor
868,869,Tumor 3,Tumor
948,949,Tumor 3,Tumor
890,891,Tumor 3,Tumor
1069,1070,Tumor 7,Tumor
967,968,Tumor 1,Tumor
959,960,Tumor 7,Tumor
870,871,Tumor 2 (Ki67 Proliferating),Tumor
808,809,Tumor 2 (Ki67 Proliferating),Tumor
1158,1159,Tumor 6 / DC,Tumor
1057,1058,Tumor 3,Tumor
1101,1102,Tumor 2 (Ki67 Proliferating),Tumor
1129,1130,Tumor 3,Tumor
1090,1091,Tumor 3,Tumor
466,467,Tumor 2 (Ki67 Proliferating),Tumor
646,647,Tumor 1,Tumor
544,545,Tumor 3,Tumor
508,509,Tumor 3,Tumor
531,532,Tumor 3,Tumor
764,765,Tumor 1,Tumor
763,764,Tumor 2 (Ki67 Proliferating),Tumor
780,781,Tumor 6 / DC,Tumor
1465,1466,Tumor 4,Tumor
1450,1451,Tumor 2 (Ki67 Proliferating),Tumor
1128,1129,Tumor 7,Tumor
