,CELL_ID,CELL_TYPE,CELL_CLASS
1412,1413,Tumor 4,Tumor
855,856,Tumor 4,Tumor
1420,1421,Tumor 4,Tumor
1191,1192,Tumor 3,Tumor
1351,1352,Tumor 7,Tumor
1344,1345,Tumor 7,Tumor
1385,1386,Tumor 7,Tumor
1009,1010,Tumor 4,Tumor
3,4,Tumor 1,Tumor
676,677,Tumor 1,Tumor
718,719,Tumor 4,Tumor
636,637,Tumor 4,Tumor
1183,1184,Tumor 3,Tumor
1390,1391,Tumor 1,Tumor
1378,1379,Tumor 1,Tumor
1405,1406,Tumor 1,Tumor
1406,1407,Tumor 7,Tumor
1386,1387,Tumor 7,Tumor
1368,1369,Tumor 7,Tumor
1224,1225,Tumor 7,Tumor
1277,1278,Tumor 3,Tumor
1215,1216,Tumor 7,Tumor
1348,1349,Tumor 7,Tumor
803,804,Tumor 4,Tumor
154,155,Tumor 3,Tumor
183,184,Tumor 3,Tumor
1424,1425,Tumor 4,Tumor
9,10,Tumor 1,Tumor
13,14,Tumor 3,Tumor
10,11,Tumor 1,Tumor
15,16,Tumor 1,Tumor
33,34,Tumor 7,Tumor
881,882,Tumor 7,Tumor
870,871,Tumor 7,Tumor
866,867,Tumor 7,Tumor
885,886,Tumor 6 / DC,Tumor
732,733,Tumor 4,Tumor
754,755,Tumor 4,Tumor
775,776,Tumor 4,Tumor
945,946,Tumor 4,Tumor
508,509,Tumor 1,Tumor
204,205,Tumor 7,Tumor
31,32,Tumor 7,Tumor
517,518,Tumor 3,Tumor
500,501,Tumor 4,Tumor
322,323,Tumor 6 / DC,Tumor
288,289,Tumor 2 (Ki67 Proliferating),Tumor
313,314,Tumor 1,Tumor
342,343,Tumor 1,Tumor
359,360,Tumor 7,Tumor
306,307,Tumor 1,Tumor
486,487,Tumor 2 (Ki67 Proliferating),Tumor
1311,1312,Tumor 7,Tumor
1252,1253,Tumor 4,Tumor
1178,1179,Tumor 3,Tumor
1188,1189,Tumor 3,Tumor
1156,1157,Tumor 4,Tumor
1150,1151,Tumor 4,Tumor
811,812,Tumor 4,Tumor
783,784,Tumor 4,Tumor
749,750,Tumor 4,Tumor
814,815,Tumor 4,Tumor
823,824,Tumor 4,Tumor
825,826,Tumor 4,Tumor
794,795,Tumor 4,Tumor
788,789,Tumor 6 / DC,Tumor
800,801,Tumor 4,Tumor
819,820,Tumor 4,Tumor
1415,1416,Tumor 1,Tumor
1411,1412,Tumor 7,Tumor
1362,1363,Tumor 4,Tumor
208,209,Tumor 3,Tumor
210,211,Tumor 4,Tumor
215,216,Tumor 4,Tumor
200,201,Tumor 3,Tumor
629,630,Tumor 4,Tumor
588,589,Tumor 4,Tumor
551,552,Tumor 4,Tumor
32,33,Tumor 7,Tumor
21,22,Tumor 1,Tumor
18,19,Tumor 1,Tumor
8,9,Tumor 1,Tumor
122,123,Tumor 1,Tumor
139,140,Tumor 2 (Ki67 Proliferating),Tumor
113,114,Tumor 7,Tumor
101,102,Tumor 1,Tumor
92,93,Tumor 1,Tumor
74,75,Tumor 1,Tumor
72,73,Tumor 7,Tumor
37,38,Tumor 4,Tumor
123,124,Tumor 1,Tumor
132,133,Tumor 1,Tumor
95,96,Tumor 1,Tumor
87,88,Tumor 7,Tumor
138,139,Tumor 7,Tumor
107,108,Tumor 7,Tumor
50,51,Tumor 1,Tumor
67,68,Tumor 1,Tumor
11,12,Tumor 4,Tumor
14,15,Tumor 4,Tumor
42,43,Tumor 1,Tumor
168,169,Tumor 1,Tumor
158,159,Tumor 1,Tumor
34,35,Tumor 7,Tumor
305,306,Tumor 3,Tumor
905,906,Tumor 7,Tumor
830,831,Tumor 7,Tumor
840,841,Tumor 6 / DC,Tumor
844,845,Tumor 6 / DC,Tumor
835,836,Tumor 7,Tumor
652,653,Tumor 7,Tumor
639,640,Tumor 1,Tumor
617,618,Tumor 7,Tumor
680,681,Tumor 7,Tumor
660,661,Tumor 7,Tumor
705,706,Tumor 7,Tumor
701,702,Tumor 1,Tumor
553,554,Tumor 1,Tumor
538,539,Tumor 7,Tumor
546,547,Tumor 1,Tumor
890,891,Tumor 4,Tumor
842,843,Tumor 4,Tumor
829,830,Tumor 3,Tumor
889,890,Tumor 4,Tumor
796,797,Tumor 7,Tumor
847,848,Tumor 4,Tumor
831,832,Tumor 3,Tumor
850,851,Tumor 6 / DC,Tumor
808,809,Tumor 2 (Ki67 Proliferating),Tumor
906,907,Tumor 4,Tumor
996,997,Tumor 3,Tumor
485,486,Tumor 1,Tumor
402,403,Tumor 7,Tumor
377,378,Tumor 2 (Ki67 Proliferating),Tumor
561,562,Tumor 7,Tumor
549,550,Tumor 1,Tumor
118,119,Tumor 4,Tumor
27,28,Tumor 7,Tumor
22,23,Tumor 7,Tumor
53,54,Tumor 7,Tumor
420,421,Tumor 3,Tumor
408,409,Tumor 2 (Ki67 Proliferating),Tumor
362,363,Tumor 2 (Ki67 Proliferating),Tumor
329,330,Tumor 7,Tumor
341,342,Tumor 7,Tumor
330,331,Tumor 2 (Ki67 Proliferating),Tumor
345,346,Tumor 2 (Ki67 Proliferating),Tumor
319,320,Tumor 2 (Ki67 Proliferating),Tumor
