,CELL_ID,CELL_TYPE,CELL_CLASS
406,407,Tumor 1,Tumor
960,961,Tumor 2 (Ki67 Proliferating),Tumor
296,297,Tumor 1,Tumor
637,638,Tumor 6 / DC,Tumor
596,597,Tumor 4,Tumor
592,593,Tumor 4,Tumor
932,933,Tumor 7,Tumor
1193,1194,Tumor 4,Tumor
422,423,Tumor 4,Tumor
305,306,Tumor 1,Tumor
36,37,Tumor 3,Tumor
718,719,Tumor 3,Tumor
908,909,Tumor 4,Tumor
830,831,Tumor 3,Tumor
452,453,Tumor 4,Tumor
407,408,Tumor 2 (Ki67 Proliferating),Tumor
281,282,Tumor 1,Tumor
61,62,Tumor 1,Tumor
300,301,Tumor 3,Tumor
49,50,Tumor 3,Tumor
81,82,Tumor 3,Tumor
197,198,Tumor 6 / DC,Tumor
95,96,Tumor 7,Tumor
645,646,Tumor 1,Tumor
756,757,Tumor 4,Tumor
808,809,Tumor 1,Tumor
785,786,Tumor 3,Tumor
765,766,Tumor 3,Tumor
821,822,Tumor 4,Tumor
335,336,Tumor 4,Tumor
923,924,Tumor 4,Tumor
200,201,Tumor 7,Tumor
503,504,Tumor 4,Tumor
282,283,Tumor 2 (Ki67 Proliferating),Tumor
358,359,Tumor 1,Tumor
275,276,Tumor 7,Tumor
372,373,Tumor 4,Tumor
301,302,Tumor 6 / DC,Tumor
347,348,Tumor 1,Tumor
367,368,Tumor 6 / DC,Tumor
1094,1095,Tumor 1,Tumor
561,562,Tumor 4,Tumor
587,588,Tumor 4,Tumor
832,833,Tumor 7,Tumor
1191,1192,Tumor 4,Tumor
394,395,Tumor 6 / DC,Tumor
417,418,Tumor 6 / DC,Tumor
539,540,Tumor 4,Tumor
369,370,Tumor 4,Tumor
431,432,Tumor 7,Tumor
309,310,Tumor 2 (Ki67 Proliferating),Tumor
256,257,Tumor 1,Tumor
270,271,Tumor 3,Tumor
297,298,Tumor 1,Tumor
326,327,Tumor 7,Tumor
339,340,Tumor 1,Tumor
307,308,Tumor 4,Tumor
315,316,Tumor 3,Tumor
352,353,Tumor 4,Tumor
32,33,Tumor 3,Tumor
87,88,Tumor 7,Tumor
115,116,Tumor 7,Tumor
169,170,Tumor 3,Tumor
4,5,Tumor 1,Tumor
338,339,Tumor 3,Tumor
346,347,Tumor 3,Tumor
354,355,Tumor 4,Tumor
288,289,Tumor 3,Tumor
147,148,Tumor 3,Tumor
59,60,Tumor 3,Tumor
122,123,Tumor 3,Tumor
86,87,Tumor 3,Tumor
82,83,Tumor 6 / DC,Tumor
101,102,Tumor 3,Tumor
72,73,Tumor 7,Tumor
10,11,Tumor 7,Tumor
211,212,Tumor 7,Tumor
183,184,Tumor 3,Tumor
238,239,Tumor 4,Tumor
177,178,Tumor 3,Tumor
311,312,Tumor 4,Tumor
350,351,Tumor 4,Tumor
351,352,Tumor 4,Tumor
53,54,Tumor 4,Tumor
43,44,Tumor 4,Tumor
48,49,Tumor 4,Tumor
62,63,Tumor 4,Tumor
676,677,Tumor 4,Tumor
