,CELL_ID,CELL_TYPE,CELL_CLASS
191,192,Tumor 1,Tumor
1096,1097,Tumor 1,Tumor
1073,1074,Tumor 1,Tumor
1142,1143,Tumor 1,Tumor
1163,1164,Tumor 1,Tumor
599,600,Tumor 1,Tumor
1134,1135,Tumor 1,Tumor
1070,1071,Tumor 7,Tumor
1244,1245,Tumor 1,Tumor
1270,1271,Tumor 1,Tumor
1219,1220,Tumor 4,Tumor
150,151,Tumor 7,Tumor
79,80,Tumor 1,Tumor
126,127,Tumor 7,Tumor
102,103,Tumor 7,Tumor
1055,1056,Tumor 1,Tumor
1022,1023,Tumor 7,Tumor
1035,1036,Tumor 1,Tumor
1125,1126,Tumor 7,Tumor
1087,1088,Tumor 1,Tumor
1116,1117,Tumor 7,Tumor
2329,2330,Tumor 4,Tumor
678,679,Tumor 7,Tumor
590,591,Tumor 3,Tumor
729,730,Tumor 7,Tumor
112,113,Tumor 4,Tumor
963,964,Tumor 7,Tumor
424,425,Tumor 1,Tumor
593,594,Tumor 1,Tumor
1124,1125,Tumor 1,Tumor
1058,1059,Tumor 3,Tumor
1135,1136,Tumor 1,Tumor
2184,2185,Tumor 1,Tumor
2160,2161,Tumor 7,Tumor
2146,2147,Tumor 7,Tumor
2280,2281,Tumor 3,Tumor
1316,1317,Tumor 4,Tumor
1311,1312,Tumor 2 (Ki67 Proliferating),Tumor
1363,1364,Tumor 1,Tumor
1925,1926,Tumor 4,Tumor
1686,1687,Tumor 4,Tumor
1930,1931,Tumor 2 (Ki67 Proliferating),Tumor
1980,1981,Tumor 7,Tumor
2068,2069,Tumor 2 (Ki67 Proliferating),Tumor
2247,2248,Tumor 7,Tumor
1175,1176,Tumor 4,Tumor
1123,1124,Tumor 7,Tumor
1105,1106,Tumor 1,Tumor
1051,1052,Tumor 7,Tumor
1018,1019,Tumor 7,Tumor
1071,1072,Tumor 1,Tumor
985,986,Tumor 3,Tumor
1164,1165,Tumor 1,Tumor
1203,1204,Tumor 1,Tumor
1154,1155,Tumor 1,Tumor
1536,1537,Tumor 4,Tumor
1401,1402,Tumor 1,Tumor
1514,1515,Tumor 3,Tumor
1490,1491,Tumor 7,Tumor
2156,2157,Tumor 7,Tumor
2063,2064,Tumor 7,Tumor
533,534,Tumor 7,Tumor
591,592,Tumor 7,Tumor
623,624,Tumor 1,Tumor
651,652,Tumor 7,Tumor
