,CELL_ID,CELL_TYPE,CELL_CLASS
883,884,Tumor 1,Tumor
61,62,Tumor 6 / DC,Tumor
17,18,Tumor 6 / DC,Tumor
2075,2076,Tumor 6 / DC,Tumor
771,772,Tumor 3,Tumor
2292,2293,Tumor 4,Tumor
1488,1489,Tumor 6 / DC,Tumor
1529,1530,Tumor 6 / DC,Tumor
1475,1476,Tumor 6 / DC,Tumor
1305,1306,Tumor 6 / DC,Tumor
1472,1473,Tumor 6 / DC,Tumor
1147,1148,Tumor 6 / DC,Tumor
1078,1079,Tumor 6 / DC,Tumor
915,916,Tumor 6 / DC,Tumor
746,747,Tumor 6 / DC,Tumor
666,667,Tumor 2 (Ki67 Proliferating),Tumor
477,478,Tumor 6 / DC,Tumor
582,583,Tumor 6 / DC,Tumor
513,514,Tumor 6 / DC,Tumor
10,11,Tumor 6 / DC,Tumor
1963,1964,Tumor 4,Tumor
2032,2033,Tumor 6 / DC,Tumor
2083,2084,Tumor 6 / DC,Tumor
2167,2168,Tumor 2 (Ki67 Proliferating),Tumor
2249,2250,Tumor 2 (Ki67 Proliferating),Tumor
2129,2130,Tumor 2 (Ki67 Proliferating),Tumor
2284,2285,Tumor 4,Tumor
2337,2338,Tumor 6 / DC,Tumor
614,615,Tumor 1,Tumor
834,835,Tumor 2 (Ki67 Proliferating),Tumor
884,885,Tumor 6 / DC,Tumor
472,473,Tumor 4,Tumor
932,933,Tumor 4,Tumor
45,46,Tumor 6 / DC,Tumor
30,31,Tumor 6 / DC,Tumor
235,236,Tumor 6 / DC,Tumor
251,252,Tumor 6 / DC,Tumor
277,278,Tumor 6 / DC,Tumor
169,170,Tumor 6 / DC,Tumor
366,367,Tumor 6 / DC,Tumor
1,2,Tumor 4,Tumor
641,642,Tumor 6 / DC,Tumor
1525,1526,Tumor 1,Tumor
2192,2193,Tumor 6 / DC,Tumor
1326,1327,Tumor 6 / DC,Tumor
1375,1376,Tumor 6 / DC,Tumor
