,CELL_ID,CELL_TYPE,CELL_CLASS
1869,1870,Tumor 6 / DC,Tumor
1836,1837,Tumor 4,Tumor
1857,1858,Tumor 7,Tumor
1856,1857,Tumor 7,Tumor
1829,1830,Tumor 6 / DC,Tumor
1863,1864,Tumor 7,Tumor
1791,1792,Tumor 4,Tumor
1823,1824,Tumor 2 (Ki67 Proliferating),Tumor
1848,1849,Tumor 2 (Ki67 Proliferating),Tumor
1845,1846,Tumor 2 (Ki67 Proliferating),Tumor
1846,1847,Tumor 1,Tumor
1843,1844,Tumor 3,Tumor
125,126,Tumor 4,Tumor
1492,1493,Tumor 7,Tumor
1140,1141,Tumor 2 (Ki67 Proliferating),Tumor
1365,1366,Tumor 3,Tumor
1379,1380,Tumor 3,Tumor
1761,1762,Tumor 4,Tumor
1737,1738,Tumor 2 (Ki67 Proliferating),Tumor
1809,1810,Tumor 2 (Ki67 Proliferating),Tumor
1814,1815,Tumor 2 (Ki67 Proliferating),Tumor
1834,1835,Tumor 4,Tumor
1821,1822,Tumor 3,Tumor
1811,1812,Tumor 4,Tumor
1328,1329,Tumor 1,Tumor
130,131,Tumor 1,Tumor
1436,1437,Tumor 3,Tumor
1465,1466,Tumor 7,Tumor
1501,1502,Tumor 4,Tumor
1483,1484,Tumor 1,Tumor
1174,1175,Tumor 1,Tumor
1149,1150,Tumor 1,Tumor
813,814,Tumor 4,Tumor
910,911,Tumor 2 (Ki67 Proliferating),Tumor
881,882,Tumor 4,Tumor
1095,1096,Tumor 1,Tumor
1039,1040,Tumor 1,Tumor
943,944,Tumor 4,Tumor
868,869,Tumor 4,Tumor
949,950,Tumor 2 (Ki67 Proliferating),Tumor
1652,1653,Tumor 3,Tumor
1348,1349,Tumor 7,Tumor
1364,1365,Tumor 3,Tumor
983,984,Tumor 4,Tumor
747,748,Tumor 7,Tumor
704,705,Tumor 4,Tumor
687,688,Tumor 1,Tumor
117,118,Tumor 1,Tumor
146,147,Tumor 3,Tumor
20,21,Tumor 3,Tumor
7,8,Tumor 3,Tumor
122,123,Tumor 3,Tumor
98,99,Tumor 3,Tumor
23,24,Tumor 4,Tumor
108,109,Tumor 3,Tumor
85,86,Tumor 3,Tumor
554,555,Tumor 2 (Ki67 Proliferating),Tumor
807,808,Tumor 3,Tumor
761,762,Tumor 3,Tumor
692,693,Tumor 3,Tumor
1332,1333,Tumor 4,Tumor
1281,1282,Tumor 1,Tumor
1326,1327,Tumor 1,Tumor
1701,1702,Tumor 1,Tumor
1661,1662,Tumor 1,Tumor
1266,1267,Tumor 1,Tumor
1747,1748,Tumor 3,Tumor
1755,1756,Tumor 3,Tumor
1760,1761,Tumor 4,Tumor
198,199,Tumor 4,Tumor
491,492,Tumor 7,Tumor
402,403,Tumor 3,Tumor
1758,1759,Tumor 2 (Ki67 Proliferating),Tumor
1038,1039,Tumor 1,Tumor
1573,1574,Tumor 4,Tumor
1534,1535,Tumor 6 / DC,Tumor
1542,1543,Tumor 4,Tumor
1522,1523,Tumor 4,Tumor
1186,1187,Tumor 4,Tumor
1428,1429,Tumor 1,Tumor
1242,1243,Tumor 1,Tumor
1209,1210,Tumor 3,Tumor
1220,1221,Tumor 6 / DC,Tumor
1180,1181,Tumor 1,Tumor
1158,1159,Tumor 2 (Ki67 Proliferating),Tumor
1153,1154,Tumor 1,Tumor
793,794,Tumor 3,Tumor
827,828,Tumor 3,Tumor
822,823,Tumor 6 / DC,Tumor
871,872,Tumor 4,Tumor
927,928,Tumor 2 (Ki67 Proliferating),Tumor
1072,1073,Tumor 3,Tumor
1008,1009,Tumor 2 (Ki67 Proliferating),Tumor
1075,1076,Tumor 1,Tumor
1106,1107,Tumor 1,Tumor
1033,1034,Tumor 4,Tumor
1026,1027,Tumor 4,Tumor
990,991,Tumor 3,Tumor
998,999,Tumor 2 (Ki67 Proliferating),Tumor
1081,1082,Tumor 3,Tumor
1699,1700,Tumor 3,Tumor
1370,1371,Tumor 4,Tumor
1383,1384,Tumor 4,Tumor
1317,1318,Tumor 3,Tumor
1323,1324,Tumor 6 / DC,Tumor
1315,1316,Tumor 3,Tumor
1357,1358,Tumor 3,Tumor
1306,1307,Tumor 3,Tumor
1343,1344,Tumor 3,Tumor
1354,1355,Tumor 4,Tumor
1369,1370,Tumor 3,Tumor
1347,1348,Tumor 6 / DC,Tumor
1427,1428,Tumor 3,Tumor
1403,1404,Tumor 7,Tumor
555,556,Tumor 2 (Ki67 Proliferating),Tumor
542,543,Tumor 4,Tumor
566,567,Tumor 4,Tumor
635,636,Tumor 3,Tumor
615,616,Tumor 2 (Ki67 Proliferating),Tumor
586,587,Tumor 2 (Ki67 Proliferating),Tumor
87,88,Tumor 2 (Ki67 Proliferating),Tumor
58,59,Tumor 1,Tumor
81,82,Tumor 2 (Ki67 Proliferating),Tumor
106,107,Tumor 1,Tumor
221,222,Tumor 3,Tumor
100,101,Tumor 2 (Ki67 Proliferating),Tumor
43,44,Tumor 2 (Ki67 Proliferating),Tumor
5,6,Tumor 4,Tumor
32,33,Tumor 3,Tumor
22,23,Tumor 4,Tumor
74,75,Tumor 2 (Ki67 Proliferating),Tumor
66,67,Tumor 2 (Ki67 Proliferating),Tumor
39,40,Tumor 2 (Ki67 Proliferating),Tumor
64,65,Tumor 6 / DC,Tumor
47,48,Tumor 2 (Ki67 Proliferating),Tumor
25,26,Tumor 3,Tumor
40,41,Tumor 3,Tumor
77,78,Tumor 3,Tumor
112,113,Tumor 2 (Ki67 Proliferating),Tumor
455,456,Tumor 3,Tumor
728,729,Tumor 4,Tumor
673,674,Tumor 2 (Ki67 Proliferating),Tumor
866,867,Tumor 2 (Ki67 Proliferating),Tumor
492,493,Tumor 4,Tumor
545,546,Tumor 2 (Ki67 Proliferating),Tumor
500,501,Tumor 4,Tumor
531,532,Tumor 3,Tumor
986,987,Tumor 4,Tumor
966,967,Tumor 3,Tumor
934,935,Tumor 4,Tumor
1041,1042,Tumor 3,Tumor
775,776,Tumor 2 (Ki67 Proliferating),Tumor
759,760,Tumor 2 (Ki67 Proliferating),Tumor
776,777,Tumor 3,Tumor
631,632,Tumor 2 (Ki67 Proliferating),Tumor
450,451,Tumor 4,Tumor
449,450,Tumor 2 (Ki67 Proliferating),Tumor
547,548,Tumor 4,Tumor
549,550,Tumor 3,Tumor
637,638,Tumor 4,Tumor
1721,1722,Tumor 6 / DC,Tumor
1644,1645,Tumor 2 (Ki67 Proliferating),Tumor
1686,1687,Tumor 3,Tumor
1708,1709,Tumor 4,Tumor
1673,1674,Tumor 4,Tumor
1679,1680,Tumor 2 (Ki67 Proliferating),Tumor
1120,1121,Tumor 3,Tumor
1082,1083,Tumor 6 / DC,Tumor
930,931,Tumor 4,Tumor
1146,1147,Tumor 4,Tumor
1172,1173,Tumor 1,Tumor
996,997,Tumor 1,Tumor
1411,1412,Tumor 3,Tumor
1368,1369,Tumor 7,Tumor
1319,1320,Tumor 2 (Ki67 Proliferating),Tumor
1385,1386,Tumor 4,Tumor
1324,1325,Tumor 7,Tumor
1245,1246,Tumor 1,Tumor
1736,1737,Tumor 4,Tumor
1702,1703,Tumor 4,Tumor
1713,1714,Tumor 4,Tumor
1687,1688,Tumor 6 / DC,Tumor
