,CELL_ID,CELL_TYPE,CELL_CLASS
1316,1317,Tumor 1,Tumor
610,611,Tumor 1,Tumor
1248,1249,Tumor 4,Tumor
1329,1330,Tumor 1,Tumor
1262,1263,Tumor 1,Tumor
1256,1257,Tumor 3,Tumor
22,23,Tumor 2 (Ki67 Proliferating),Tumor
24,25,Tumor 2 (Ki67 Proliferating),Tumor
13,14,Tumor 1,Tumor
28,29,Tumor 4,Tumor
941,942,Tumor 4,Tumor
800,801,Tumor 2 (Ki67 Proliferating),Tumor
925,926,Tumor 7,Tumor
873,874,Tumor 4,Tumor
900,901,Tumor 2 (Ki67 Proliferating),Tumor
1233,1234,Tumor 7,Tumor
1205,1206,Tumor 6 / DC,Tumor
1308,1309,Tumor 2 (Ki67 Proliferating),Tumor
1310,1311,Tumor 3,Tumor
17,18,Tumor 1,Tumor
1,2,Tumor 5,Tumor
2,3,Tumor 4,Tumor
45,46,Tumor 4,Tumor
230,231,Tumor 7,Tumor
72,73,Tumor 4,Tumor
975,976,Tumor 4,Tumor
728,729,Tumor 2 (Ki67 Proliferating),Tumor
973,974,Tumor 4,Tumor
1337,1338,Tumor 4,Tumor
1326,1327,Tumor 7,Tumor
1314,1315,Tumor 7,Tumor
1327,1328,Tumor 7,Tumor
1324,1325,Tumor 7,Tumor
1298,1299,Tumor 7,Tumor
1215,1216,Tumor 7,Tumor
1197,1198,Tumor 6 / DC,Tumor
1204,1205,Tumor 7,Tumor
1219,1220,Tumor 6 / DC,Tumor
1230,1231,Tumor 1,Tumor
1228,1229,Tumor 7,Tumor
1224,1225,Tumor 7,Tumor
36,37,Tumor 4,Tumor
49,50,Tumor 4,Tumor
119,120,Tumor 4,Tumor
81,82,Tumor 2 (Ki67 Proliferating),Tumor
1144,1145,Tumor 2 (Ki67 Proliferating),Tumor
257,258,Tumor 4,Tumor
292,293,Tumor 4,Tumor
307,308,Tumor 4,Tumor
244,245,Tumor 4,Tumor
44,45,Tumor 4,Tumor
966,967,Tumor 4,Tumor
927,928,Tumor 4,Tumor
747,748,Tumor 2 (Ki67 Proliferating),Tumor
773,774,Tumor 4,Tumor
427,428,Tumor 4,Tumor
448,449,Tumor 4,Tumor
453,454,Tumor 4,Tumor
1086,1087,Tumor 1,Tumor
1309,1310,Tumor 7,Tumor
1305,1306,Tumor 7,Tumor
1291,1292,Tumor 7,Tumor
1293,1294,Tumor 6 / DC,Tumor
1294,1295,Tumor 6 / DC,Tumor
1286,1287,Tumor 7,Tumor
1284,1285,Tumor 7,Tumor
1276,1277,Tumor 6 / DC,Tumor
1281,1282,Tumor 7,Tumor
1279,1280,Tumor 7,Tumor
1227,1228,Tumor 1,Tumor
1237,1238,Tumor 7,Tumor
1240,1241,Tumor 7,Tumor
21,22,Tumor 4,Tumor
19,20,Tumor 3,Tumor
1087,1088,Tumor 4,Tumor
618,619,Tumor 5,Tumor
744,745,Tumor 2 (Ki67 Proliferating),Tumor
1118,1119,Tumor 4,Tumor
206,207,Tumor 4,Tumor
234,235,Tumor 4,Tumor
204,205,Tumor 4,Tumor
248,249,Tumor 4,Tumor
334,335,Tumor 4,Tumor
692,693,Tumor 4,Tumor
553,554,Tumor 1,Tumor
442,443,Tumor 4,Tumor
71,72,Tumor 3,Tumor
57,58,Tumor 4,Tumor
857,858,Tumor 4,Tumor
1099,1100,Tumor 4,Tumor
1168,1169,Tumor 6 / DC,Tumor
1043,1044,Tumor 2 (Ki67 Proliferating),Tumor
1066,1067,Tumor 4,Tumor
1152,1153,Tumor 3,Tumor
767,768,Tumor 4,Tumor
1053,1054,Tumor 4,Tumor
694,695,Tumor 2 (Ki67 Proliferating),Tumor
584,585,Tumor 4,Tumor
858,859,Tumor 7,Tumor
878,879,Tumor 4,Tumor
839,840,Tumor 4,Tumor
809,810,Tumor 4,Tumor
904,905,Tumor 4,Tumor
911,912,Tumor 4,Tumor
881,882,Tumor 4,Tumor
1208,1209,Tumor 1,Tumor
1212,1213,Tumor 3,Tumor
1178,1179,Tumor 4,Tumor
1175,1176,Tumor 4,Tumor
1148,1149,Tumor 4,Tumor
1011,1012,Tumor 4,Tumor
1002,1003,Tumor 4,Tumor
1159,1160,Tumor 4,Tumor
1203,1204,Tumor 4,Tumor
1092,1093,Tumor 4,Tumor
934,935,Tumor 4,Tumor
955,956,Tumor 4,Tumor
865,866,Tumor 4,Tumor
470,471,Tumor 4,Tumor
452,453,Tumor 2 (Ki67 Proliferating),Tumor
582,583,Tumor 1,Tumor
499,500,Tumor 4,Tumor
519,520,Tumor 4,Tumor
988,989,Tumor 4,Tumor
1063,1064,Tumor 7,Tumor
1264,1265,Tumor 7,Tumor
1265,1266,Tumor 7,Tumor
