,CELL_ID,CELL_TYPE,CELL_CLASS
594,595,Tumor 4,Tumor
567,568,Tumor 4,Tumor
605,606,Tumor 4,Tumor
652,653,Tumor 4,Tumor
18,19,Tumor 7,Tumor
245,246,Tumor 4,Tumor
163,164,Tumor 4,Tumor
510,511,Tumor 4,Tumor
468,469,Tumor 4,Tumor
455,456,Tumor 4,Tumor
446,447,Tumor 6 / DC,Tumor
597,598,Tumor 4,Tumor
566,567,Tumor 4,Tumor
574,575,Tumor 7,Tumor
739,740,Tumor 4,Tumor
649,650,Tumor 4,Tumor
672,673,Tumor 4,Tumor
636,637,Tumor 4,Tumor
630,631,Tumor 6 / DC,Tumor
50,51,Tumor 7,Tumor
28,29,Tumor 7,Tumor
7,8,Tumor 7,Tumor
716,717,Tumor 4,Tumor
632,633,Tumor 4,Tumor
775,776,Tumor 1,Tumor
707,708,Tumor 4,Tumor
638,639,Tumor 4,Tumor
872,873,Tumor 1,Tumor
110,111,Tumor 4,Tumor
131,132,Tumor 4,Tumor
124,125,Tumor 4,Tumor
185,186,Tumor 7,Tumor
222,223,Tumor 4,Tumor
295,296,Tumor 4,Tumor
291,292,Tumor 4,Tumor
869,870,Tumor 4,Tumor
483,484,Tumor 6 / DC,Tumor
479,480,Tumor 4,Tumor
403,404,Tumor 4,Tumor
346,347,Tumor 4,Tumor
343,344,Tumor 4,Tumor
407,408,Tumor 4,Tumor
463,464,Tumor 1,Tumor
502,503,Tumor 7,Tumor
578,579,Tumor 4,Tumor
41,42,Tumor 7,Tumor
377,378,Tumor 4,Tumor
650,651,Tumor 4,Tumor
644,645,Tumor 4,Tumor
694,695,Tumor 4,Tumor
699,700,Tumor 1,Tumor
822,823,Tumor 4,Tumor
781,782,Tumor 4,Tumor
745,746,Tumor 4,Tumor
643,644,Tumor 4,Tumor
623,624,Tumor 4,Tumor
669,670,Tumor 4,Tumor
645,646,Tumor 4,Tumor
657,658,Tumor 4,Tumor
813,814,Tumor 6 / DC,Tumor
764,765,Tumor 4,Tumor
68,69,Tumor 7,Tumor
710,711,Tumor 4,Tumor
730,731,Tumor 4,Tumor
803,804,Tumor 4,Tumor
840,841,Tumor 4,Tumor
789,790,Tumor 4,Tumor
792,793,Tumor 4,Tumor
736,737,Tumor 4,Tumor
733,734,Tumor 4,Tumor
913,914,Tumor 4,Tumor
856,857,Tumor 4,Tumor
912,913,Tumor 4,Tumor
895,896,Tumor 4,Tumor
929,930,Tumor 4,Tumor
203,204,Tumor 4,Tumor
368,369,Tumor 4,Tumor
206,207,Tumor 4,Tumor
639,640,Tumor 4,Tumor
653,654,Tumor 4,Tumor
622,623,Tumor 4,Tumor
498,499,Tumor 4,Tumor
539,540,Tumor 7,Tumor
348,349,Tumor 1,Tumor
431,432,Tumor 4,Tumor
385,386,Tumor 1,Tumor
15,16,Tumor 4,Tumor
0,1,Tumor 4,Tumor
465,466,Tumor 4,Tumor
620,621,Tumor 4,Tumor
544,545,Tumor 4,Tumor
519,520,Tumor 4,Tumor
797,798,Tumor 7,Tumor
338,339,Tumor 1,Tumor
322,323,Tumor 7,Tumor
83,84,Tumor 7,Tumor
171,172,Tumor 4,Tumor
366,367,Tumor 6 / DC,Tumor
516,517,Tumor 4,Tumor
453,454,Tumor 7,Tumor
285,286,Tumor 4,Tumor
213,214,Tumor 4,Tumor
316,317,Tumor 7,Tumor
300,301,Tumor 7,Tumor
239,240,Tumor 7,Tumor
