,CELL_ID,CELL_TYPE,CELL_CLASS
983,984,Tumor 6 / DC,Tumor
202,203,Tumor 6 / DC,Tumor
240,241,Tumor 7,Tumor
227,228,Tumor 7,Tumor
201,202,Tumor 1,Tumor
256,257,Tumor 1,Tumor
167,168,Tumor 6 / DC,Tumor
525,526,Tumor 7,Tumor
16,17,Tumor 1,Tumor
8,9,Tumor 1,Tumor
892,893,Tumor 7,Tumor
847,848,Tumor 7,Tumor
21,22,Tumor 1,Tumor
477,478,Tumor 7,Tumor
554,555,Tumor 6 / DC,Tumor
555,556,Tumor 6 / DC,Tumor
445,446,Tumor 2 (Ki67 Proliferating),Tumor
234,235,Tumor 7,Tumor
186,187,Tumor 6 / DC,Tumor
267,268,Tumor 7,Tumor
284,285,Tumor 7,Tumor
310,311,Tumor 7,Tumor
324,325,Tumor 7,Tumor
435,436,Tumor 7,Tumor
229,230,Tumor 2 (Ki67 Proliferating),Tumor
509,510,Tumor 1,Tumor
481,482,Tumor 7,Tumor
176,177,Tumor 7,Tumor
839,840,Tumor 6 / DC,Tumor
864,865,Tumor 7,Tumor
883,884,Tumor 7,Tumor
314,315,Tumor 3,Tumor
271,272,Tumor 1,Tumor
499,500,Tumor 7,Tumor
470,471,Tumor 7,Tumor
375,376,Tumor 7,Tumor
344,345,Tumor 3,Tumor
346,347,Tumor 7,Tumor
431,432,Tumor 2 (Ki67 Proliferating),Tumor
449,450,Tumor 6 / DC,Tumor
604,605,Tumor 3,Tumor
419,420,Tumor 6 / DC,Tumor
471,472,Tumor 7,Tumor
442,443,Tumor 7,Tumor
1367,1368,Tumor 7,Tumor
1393,1394,Tumor 7,Tumor
1133,1134,Tumor 4,Tumor
1053,1054,Tumor 1,Tumor
838,839,Tumor 1,Tumor
633,634,Tumor 4,Tumor
786,787,Tumor 1,Tumor
744,745,Tumor 4,Tumor
808,809,Tumor 1,Tumor
852,853,Tumor 1,Tumor
1339,1340,Tumor 7,Tumor
1420,1421,Tumor 4,Tumor
1430,1431,Tumor 4,Tumor
1472,1473,Tumor 4,Tumor
647,648,Tumor 3,Tumor
508,509,Tumor 1,Tumor
149,150,Tumor 7,Tumor
150,151,Tumor 1,Tumor
441,442,Tumor 7,Tumor
404,405,Tumor 3,Tumor
483,484,Tumor 6 / DC,Tumor
612,613,Tumor 1,Tumor
632,633,Tumor 1,Tumor
721,722,Tumor 6 / DC,Tumor
685,686,Tumor 7,Tumor
661,662,Tumor 7,Tumor
648,649,Tumor 2 (Ki67 Proliferating),Tumor
706,707,Tumor 6 / DC,Tumor
762,763,Tumor 7,Tumor
740,741,Tumor 7,Tumor
