,CELL_ID,CELL_TYPE,CELL_CLASS
1118,1119,Tumor 7,Tumor
801,802,Tumor 1,Tumor
817,818,Tumor 1,Tumor
956,957,Tumor 1,Tumor
1085,1086,Tumor 6 / DC,Tumor
1093,1094,Tumor 1,Tumor
1121,1122,Tumor 3,Tumor
574,575,Tumor 1,Tumor
551,552,Tumor 1,Tumor
645,646,Tumor 1,Tumor
639,640,Tumor 6 / DC,Tumor
1058,1059,Tumor 6 / DC,Tumor
1028,1029,Tumor 6 / DC,Tumor
48,49,Tumor 1,Tumor
1,2,Tumor 2 (Ki67 Proliferating),Tumor
983,984,Tumor 4,Tumor
1073,1074,Tumor 1,Tumor
1079,1080,Tumor 1,Tumor
1081,1082,Tumor 1,Tumor
527,528,Tumor 1,Tumor
533,534,Tumor 1,Tumor
853,854,Tumor 1,Tumor
922,923,Tumor 4,Tumor
791,792,Tumor 6 / DC,Tumor
756,757,Tumor 3,Tumor
996,997,Tumor 6 / DC,Tumor
1009,1010,Tumor 3,Tumor
1043,1044,Tumor 6 / DC,Tumor
1065,1066,Tumor 6 / DC,Tumor
1017,1018,Tumor 3,Tumor
1027,1028,Tumor 3,Tumor
49,50,Tumor 1,Tumor
46,47,Tumor 1,Tumor
564,565,Tumor 3,Tumor
28,29,Tumor 4,Tumor
23,24,Tumor 4,Tumor
760,761,Tumor 3,Tumor
788,789,Tumor 1,Tumor
811,812,Tumor 1,Tumor
836,837,Tumor 1,Tumor
758,759,Tumor 1,Tumor
820,821,Tumor 1,Tumor
946,947,Tumor 1,Tumor
955,956,Tumor 1,Tumor
1042,1043,Tumor 1,Tumor
1036,1037,Tumor 1,Tumor
566,567,Tumor 1,Tumor
626,627,Tumor 1,Tumor
671,672,Tumor 1,Tumor
449,450,Tumor 3,Tumor
890,891,Tumor 1,Tumor
873,874,Tumor 7,Tumor
909,910,Tumor 7,Tumor
604,605,Tumor 3,Tumor
711,712,Tumor 1,Tumor
740,741,Tumor 7,Tumor
712,713,Tumor 7,Tumor
