,CELL_ID,CELL_TYPE,CELL_CLASS
2130,2131,Tumor 2 (Ki67 Proliferating),Tumor
2153,2154,Tumor 4,Tumor
2120,2121,Tumor 4,Tumor
63,64,Tumor 4,Tumor
127,128,Tumor 7,Tumor
116,117,Tumor 6 / DC,Tumor
115,116,Tumor 2 (Ki67 Proliferating),Tumor
138,139,Tumor 2 (Ki67 Proliferating),Tumor
73,74,Tumor 7,Tumor
1785,1786,Tumor 1,Tumor
2103,2104,Tumor 2 (Ki67 Proliferating),Tumor
2071,2072,Tumor 2 (Ki67 Proliferating),Tumor
2010,2011,Tumor 2 (Ki67 Proliferating),Tumor
2030,2031,Tumor 3,Tumor
1911,1912,Tumor 2 (Ki67 Proliferating),Tumor
71,72,Tumor 2 (Ki67 Proliferating),Tumor
1,2,Tumor 2 (Ki67 Proliferating),Tumor
93,94,Tumor 2 (Ki67 Proliferating),Tumor
273,274,Tumor 2 (Ki67 Proliferating),Tumor
44,45,Tumor 4,Tumor
783,784,Tumor 1,Tumor
236,237,Tumor 2 (Ki67 Proliferating),Tumor
199,200,Tumor 3,Tumor
5,6,Tumor 2 (Ki67 Proliferating),Tumor
72,73,Tumor 3,Tumor
1532,1533,Tumor 4,Tumor
1702,1703,Tumor 3,Tumor
1983,1984,Tumor 3,Tumor
1944,1945,Tumor 2 (Ki67 Proliferating),Tumor
2014,2015,Tumor 4,Tumor
2026,2027,Tumor 2 (Ki67 Proliferating),Tumor
1969,1970,Tumor 3,Tumor
1930,1931,Tumor 2 (Ki67 Proliferating),Tumor
1908,1909,Tumor 2 (Ki67 Proliferating),Tumor
1874,1875,Tumor 2 (Ki67 Proliferating),Tumor
1892,1893,Tumor 2 (Ki67 Proliferating),Tumor
1910,1911,Tumor 2 (Ki67 Proliferating),Tumor
1865,1866,Tumor 6 / DC,Tumor
1825,1826,Tumor 2 (Ki67 Proliferating),Tumor
1700,1701,Tumor 3,Tumor
2204,2205,Tumor 2 (Ki67 Proliferating),Tumor
68,69,Tumor 4,Tumor
100,101,Tumor 3,Tumor
104,105,Tumor 4,Tumor
108,109,Tumor 2 (Ki67 Proliferating),Tumor
286,287,Tumor 2 (Ki67 Proliferating),Tumor
392,393,Tumor 1,Tumor
345,346,Tumor 2 (Ki67 Proliferating),Tumor
1521,1522,Tumor 3,Tumor
114,115,Tumor 3,Tumor
147,148,Tumor 3,Tumor
188,189,Tumor 3,Tumor
177,178,Tumor 3,Tumor
255,256,Tumor 4,Tumor
218,219,Tumor 2 (Ki67 Proliferating),Tumor
265,266,Tumor 2 (Ki67 Proliferating),Tumor
217,218,Tumor 2 (Ki67 Proliferating),Tumor
43,44,Tumor 2 (Ki67 Proliferating),Tumor
278,279,Tumor 4,Tumor
850,851,Tumor 2 (Ki67 Proliferating),Tumor
868,869,Tumor 6 / DC,Tumor
835,836,Tumor 6 / DC,Tumor
1087,1088,Tumor 4,Tumor
1130,1131,Tumor 4,Tumor
1669,1670,Tumor 3,Tumor
1525,1526,Tumor 2 (Ki67 Proliferating),Tumor
1747,1748,Tumor 4,Tumor
1965,1966,Tumor 3,Tumor
1995,1996,Tumor 2 (Ki67 Proliferating),Tumor
1990,1991,Tumor 2 (Ki67 Proliferating),Tumor
1945,1946,Tumor 2 (Ki67 Proliferating),Tumor
1925,1926,Tumor 3,Tumor
1963,1964,Tumor 3,Tumor
1802,1803,Tumor 3,Tumor
1688,1689,Tumor 4,Tumor
1832,1833,Tumor 2 (Ki67 Proliferating),Tumor
1852,1853,Tumor 2 (Ki67 Proliferating),Tumor
1885,1886,Tumor 2 (Ki67 Proliferating),Tumor
1699,1700,Tumor 2 (Ki67 Proliferating),Tumor
1762,1763,Tumor 7,Tumor
1860,1861,Tumor 3,Tumor
