,CELL_ID,CELL_TYPE,CELL_CLASS
1724,1725,Tumor 1,Tumor
1222,1223,Tumor 1,Tumor
1047,1048,Tumor 1,Tumor
2281,2282,Tumor 1,Tumor
2337,2338,Tumor 1,Tumor
2306,2307,Tumor 1,Tumor
2354,2355,Tumor 4,Tumor
2328,2329,Tumor 4,Tumor
2364,2365,Tumor 4,Tumor
2368,2369,Tumor 4,Tumor
1804,1805,Tumor 4,Tumor
1219,1220,Tumor 1,Tumor
1781,1782,Tumor 4,Tumor
1056,1057,Tumor 1,Tumor
1119,1120,Tumor 1,Tumor
252,253,Tumor 1,Tumor
2309,2310,Tumor 6 / DC,Tumor
2336,2337,Tumor 3,Tumor
2358,2359,Tumor 4,Tumor
2325,2326,Tumor 3,Tumor
2372,2373,Tumor 4,Tumor
2352,2353,Tumor 2 (Ki67 Proliferating),Tumor
2270,2271,Tumor 4,Tumor
2348,2349,Tumor 6 / DC,Tumor
1644,1645,Tumor 3,Tumor
1675,1676,Tumor 3,Tumor
10,11,Tumor 4,Tumor
96,97,Tumor 1,Tumor
2230,2231,Tumor 4,Tumor
1869,1870,Tumor 1,Tumor
2088,2089,Tumor 2 (Ki67 Proliferating),Tumor
2051,2052,Tumor 7,Tumor
863,864,Tumor 7,Tumor
547,548,Tumor 3,Tumor
1220,1221,Tumor 2 (Ki67 Proliferating),Tumor
1247,1248,Tumor 1,Tumor
1262,1263,Tumor 7,Tumor
1354,1355,Tumor 1,Tumor
1185,1186,Tumor 7,Tumor
1898,1899,Tumor 1,Tumor
1074,1075,Tumor 1,Tumor
1116,1117,Tumor 1,Tumor
1098,1099,Tumor 1,Tumor
684,685,Tumor 2 (Ki67 Proliferating),Tumor
618,619,Tumor 7,Tumor
287,288,Tumor 4,Tumor
389,390,Tumor 1,Tumor
365,366,Tumor 1,Tumor
292,293,Tumor 1,Tumor
575,576,Tumor 1,Tumor
537,538,Tumor 1,Tumor
517,518,Tumor 1,Tumor
470,471,Tumor 1,Tumor
390,391,Tumor 1,Tumor
524,525,Tumor 1,Tumor
1014,1015,Tumor 1,Tumor
1015,1016,Tumor 7,Tumor
974,975,Tumor 1,Tumor
602,603,Tumor 1,Tumor
556,557,Tumor 1,Tumor
1106,1107,Tumor 4,Tumor
2180,2181,Tumor 1,Tumor
2331,2332,Tumor 1,Tumor
2321,2322,Tumor 4,Tumor
2345,2346,Tumor 4,Tumor
2376,2377,Tumor 4,Tumor
1834,1835,Tumor 2 (Ki67 Proliferating),Tumor
1851,1852,Tumor 6 / DC,Tumor
1792,1793,Tumor 3,Tumor
512,513,Tumor 3,Tumor
655,656,Tumor 2 (Ki67 Proliferating),Tumor
162,163,Tumor 3,Tumor
960,961,Tumor 1,Tumor
996,997,Tumor 3,Tumor
174,175,Tumor 2 (Ki67 Proliferating),Tumor
756,757,Tumor 4,Tumor
740,741,Tumor 2 (Ki67 Proliferating),Tumor
451,452,Tumor 4,Tumor
