,CELL_ID,CELL_TYPE,CELL_CLASS
606,607,Tumor 4,Tumor
573,574,Tumor 4,Tumor
1350,1351,Tumor 4,Tumor
1339,1340,Tumor 3,Tumor
600,601,Tumor 3,Tumor
565,566,Tumor 3,Tumor
549,550,Tumor 4,Tumor
294,295,Tumor 3,Tumor
268,269,Tumor 7,Tumor
292,293,Tumor 1,Tumor
238,239,Tumor 1,Tumor
626,627,Tumor 3,Tumor
1102,1103,Tumor 4,Tumor
1088,1089,Tumor 4,Tumor
1141,1142,Tumor 2 (Ki67 Proliferating),Tumor
475,476,Tumor 3,Tumor
1338,1339,Tumor 2 (Ki67 Proliferating),Tumor
423,424,Tumor 3,Tumor
288,289,Tumor 3,Tumor
12,13,Tumor 3,Tumor
4,5,Tumor 7,Tumor
0,1,Tumor 6 / DC,Tumor
3,4,Tumor 4,Tumor
5,6,Tumor 3,Tumor
251,252,Tumor 4,Tumor
246,247,Tumor 7,Tumor
253,254,Tumor 1,Tumor
405,406,Tumor 3,Tumor
7,8,Tumor 7,Tumor
454,455,Tumor 1,Tumor
527,528,Tumor 3,Tumor
1137,1138,Tumor 1,Tumor
680,681,Tumor 3,Tumor
885,886,Tumor 4,Tumor
1298,1299,Tumor 3,Tumor
492,493,Tumor 4,Tumor
575,576,Tumor 2 (Ki67 Proliferating),Tumor
788,789,Tumor 4,Tumor
1041,1042,Tumor 4,Tumor
1343,1344,Tumor 7,Tumor
1349,1350,Tumor 7,Tumor
1296,1297,Tumor 3,Tumor
1325,1326,Tumor 1,Tumor
611,612,Tumor 4,Tumor
367,368,Tumor 4,Tumor
460,461,Tumor 7,Tumor
486,487,Tumor 4,Tumor
500,501,Tumor 1,Tumor
468,469,Tumor 2 (Ki67 Proliferating),Tumor
385,386,Tumor 3,Tumor
336,337,Tumor 1,Tumor
341,342,Tumor 3,Tumor
414,415,Tumor 4,Tumor
439,440,Tumor 7,Tumor
371,372,Tumor 1,Tumor
316,317,Tumor 7,Tumor
303,304,Tumor 1,Tumor
69,70,Tumor 3,Tumor
52,53,Tumor 3,Tumor
594,595,Tumor 7,Tumor
511,512,Tumor 1,Tumor
579,580,Tumor 3,Tumor
804,805,Tumor 3,Tumor
993,994,Tumor 3,Tumor
1002,1003,Tumor 2 (Ki67 Proliferating),Tumor
974,975,Tumor 1,Tumor
839,840,Tumor 3,Tumor
877,878,Tumor 4,Tumor
855,856,Tumor 4,Tumor
901,902,Tumor 3,Tumor
860,861,Tumor 1,Tumor
891,892,Tumor 4,Tumor
1220,1221,Tumor 1,Tumor
1244,1245,Tumor 1,Tumor
1234,1235,Tumor 3,Tumor
1248,1249,Tumor 4,Tumor
318,319,Tumor 7,Tumor
279,280,Tumor 3,Tumor
688,689,Tumor 4,Tumor
765,766,Tumor 4,Tumor
659,660,Tumor 2 (Ki67 Proliferating),Tumor
619,620,Tumor 2 (Ki67 Proliferating),Tumor
703,704,Tumor 2 (Ki67 Proliferating),Tumor
734,735,Tumor 3,Tumor
744,745,Tumor 1,Tumor
702,703,Tumor 4,Tumor
724,725,Tumor 3,Tumor
1348,1349,Tumor 7,Tumor
813,814,Tumor 3,Tumor
1073,1074,Tumor 3,Tumor
1019,1020,Tumor 3,Tumor
1340,1341,Tumor 3,Tumor
1354,1355,Tumor 4,Tumor
1347,1348,Tumor 7,Tumor
1351,1352,Tumor 2 (Ki67 Proliferating),Tumor
1035,1036,Tumor 4,Tumor
639,640,Tumor 3,Tumor
269,270,Tumor 6 / DC,Tumor
266,267,Tumor 4,Tumor
538,539,Tumor 3,Tumor
576,577,Tumor 3,Tumor
645,646,Tumor 3,Tumor
488,489,Tumor 2 (Ki67 Proliferating),Tumor
127,128,Tumor 4,Tumor
201,202,Tumor 2 (Ki67 Proliferating),Tumor
227,228,Tumor 2 (Ki67 Proliferating),Tumor
150,151,Tumor 4,Tumor
6,7,Tumor 7,Tumor
26,27,Tumor 4,Tumor
19,20,Tumor 4,Tumor
13,14,Tumor 3,Tumor
38,39,Tumor 4,Tumor
66,67,Tumor 4,Tumor
71,72,Tumor 4,Tumor
110,111,Tumor 2 (Ki67 Proliferating),Tumor
347,348,Tumor 1,Tumor
408,409,Tumor 4,Tumor
346,347,Tumor 1,Tumor
353,354,Tumor 1,Tumor
32,33,Tumor 4,Tumor
113,114,Tumor 4,Tumor
315,316,Tumor 4,Tumor
620,621,Tumor 7,Tumor
568,569,Tumor 7,Tumor
591,592,Tumor 7,Tumor
613,614,Tumor 2 (Ki67 Proliferating),Tumor
553,554,Tumor 1,Tumor
581,582,Tumor 7,Tumor
654,655,Tumor 4,Tumor
638,639,Tumor 4,Tumor
719,720,Tumor 2 (Ki67 Proliferating),Tumor
749,750,Tumor 4,Tumor
752,753,Tumor 4,Tumor
714,715,Tumor 4,Tumor
684,685,Tumor 4,Tumor
670,671,Tumor 4,Tumor
694,695,Tumor 1,Tumor
743,744,Tumor 3,Tumor
742,743,Tumor 3,Tumor
880,881,Tumor 1,Tumor
779,780,Tumor 4,Tumor
753,754,Tumor 4,Tumor
728,729,Tumor 2 (Ki67 Proliferating),Tumor
1036,1037,Tumor 4,Tumor
1062,1063,Tumor 4,Tumor
977,978,Tumor 7,Tumor
959,960,Tumor 2 (Ki67 Proliferating),Tumor
915,916,Tumor 4,Tumor
940,941,Tumor 4,Tumor
900,901,Tumor 4,Tumor
926,927,Tumor 2 (Ki67 Proliferating),Tumor
1056,1057,Tumor 7,Tumor
829,830,Tumor 3,Tumor
786,787,Tumor 4,Tumor
795,796,Tumor 4,Tumor
826,827,Tumor 4,Tumor
849,850,Tumor 4,Tumor
819,820,Tumor 4,Tumor
837,838,Tumor 4,Tumor
883,884,Tumor 4,Tumor
843,844,Tumor 1,Tumor
820,821,Tumor 4,Tumor
845,846,Tumor 7,Tumor
861,862,Tumor 7,Tumor
884,885,Tumor 1,Tumor
1189,1190,Tumor 1,Tumor
1168,1169,Tumor 2 (Ki67 Proliferating),Tumor
1097,1098,Tumor 2 (Ki67 Proliferating),Tumor
1118,1119,Tumor 4,Tumor
1151,1152,Tumor 7,Tumor
1175,1176,Tumor 3,Tumor
428,429,Tumor 7,Tumor
333,334,Tumor 7,Tumor
491,492,Tumor 4,Tumor
415,416,Tumor 7,Tumor
425,426,Tumor 2 (Ki67 Proliferating),Tumor
407,408,Tumor 2 (Ki67 Proliferating),Tumor
618,619,Tumor 2 (Ki67 Proliferating),Tumor
683,684,Tumor 1,Tumor
857,858,Tumor 3,Tumor
803,804,Tumor 4,Tumor
835,836,Tumor 4,Tumor
810,811,Tumor 4,Tumor
771,772,Tumor 2 (Ki67 Proliferating),Tumor
834,835,Tumor 4,Tumor
759,760,Tumor 4,Tumor
1018,1019,Tumor 7,Tumor
998,999,Tumor 4,Tumor
1040,1041,Tumor 3,Tumor
1012,1013,Tumor 2 (Ki67 Proliferating),Tumor
882,883,Tumor 3,Tumor
856,857,Tumor 4,Tumor
871,872,Tumor 4,Tumor
787,788,Tumor 4,Tumor
811,812,Tumor 4,Tumor
922,923,Tumor 4,Tumor
933,934,Tumor 2 (Ki67 Proliferating),Tumor
899,900,Tumor 4,Tumor
840,841,Tumor 3,Tumor
867,868,Tumor 2 (Ki67 Proliferating),Tumor
886,887,Tumor 4,Tumor
908,909,Tumor 4,Tumor
1312,1313,Tumor 4,Tumor
1328,1329,Tumor 4,Tumor
1330,1331,Tumor 4,Tumor
1300,1301,Tumor 7,Tumor
